,中证500
2005-01-04,132918.7
2005-01-05,191986.17
2005-01-06,162921.59
2005-01-07,190653.06
2005-01-10,165021.89
2005-01-11,177849.8
2005-01-12,182563.86
2005-01-13,271682.75
2005-01-14,228463.88
2005-01-17,241865.38
2005-01-18,252366.95
2005-01-19,230456.91
2005-01-20,258899.25
2005-01-21,341234.22
2005-01-24,410582.88
2005-01-25,265118.66
2005-01-26,223862.86
2005-01-27,221482.27
2005-01-28,210603.73
2005-01-31,205893.75
2005-02-01,207659.92
2005-02-02,352282.59
2005-02-03,347652.66
2005-02-04,287428.47
2005-02-16,255529.03
2005-02-17,208188.55
2005-02-18,213489.89
2005-02-21,256857.67
2005-02-22,532830.63
2005-02-23,582277.19
2005-02-24,487467.53
2005-02-25,560838.94
2005-02-28,417460.91
2005-03-01,380321.19
2005-03-02,419782.0
2005-03-03,299152.59
2005-03-04,255159.89
2005-03-07,259551.33
2005-03-08,450217.72
2005-03-09,501263.38
2005-03-10,425948.34
2005-03-11,368141.34
2005-03-14,483884.97
2005-03-15,404942.91
2005-03-16,319920.34
2005-03-17,317891.06
2005-03-18,312354.88
2005-03-21,250243.56
2005-03-22,328372.31
2005-03-23,312209.06
2005-03-24,251067.63
2005-03-25,227199.84
2005-03-28,215590.66
2005-03-29,199939.44
2005-03-30,245766.13
2005-03-31,204225.55
2005-04-01,366527.09
2005-04-04,289322.66
2005-04-05,239114.27
2005-04-06,383019.0
2005-04-07,534944.13
2005-04-08,435719.16
2005-04-11,474199.25
2005-04-12,324737.31
2005-04-13,449004.84
2005-04-14,379504.03
2005-04-15,345964.66
2005-04-18,257552.52
2005-04-19,242729.81
2005-04-20,259863.94
2005-04-21,313672.44
2005-04-22,313551.75
2005-04-25,287493.66
2005-04-26,291633.06
2005-04-27,297891.78
2005-04-28,377142.72
2005-04-29,289747.75
2005-05-09,206856.16
2005-05-10,236756.94
2005-05-11,227922.77
2005-05-12,222022.5
2005-05-13,239909.02
2005-05-16,201060.72
2005-05-17,218432.17
2005-05-18,198228.25
2005-05-19,217037.16
2005-05-20,194506.58
2005-05-23,180280.3
