,中证500
2005-01-04,996.68
2005-01-05,1008.86
2005-01-06,1003.49
2005-01-07,1009.0
2005-01-10,1006.46
2005-01-11,1009.5
2005-01-12,1008.74
2005-01-13,1014.84
2005-01-14,1019.48
2005-01-17,991.02
2005-01-18,991.84
2005-01-19,991.29
2005-01-20,983.2
2005-01-21,989.72
2005-01-24,1009.95
2005-01-25,1006.0
2005-01-26,997.64
2005-01-27,986.15
2005-01-28,971.94
2005-01-31,948.44
2005-02-01,929.69
2005-02-02,964.42
2005-02-03,967.94
2005-02-04,963.81
2005-02-16,979.3
2005-02-17,977.44
2005-02-18,977.12
2005-02-21,981.89
2005-02-22,1008.67
2005-02-23,1023.33
2005-02-24,1024.87
2005-02-25,1035.47
2005-02-28,1026.04
2005-03-01,1023.96
2005-03-02,1028.33
2005-03-03,1011.7
2005-03-04,1012.67
2005-03-07,1008.36
2005-03-08,1029.46
2005-03-09,1034.62
2005-03-10,1032.27
2005-03-11,1010.86
2005-03-14,1016.54
2005-03-15,1007.89
2005-03-16,992.64
2005-03-17,984.25
2005-03-18,973.1
2005-03-21,952.76
2005-03-22,949.07
2005-03-23,937.68
2005-03-24,933.92
2005-03-25,936.13
2005-03-28,930.17
2005-03-29,929.46
2005-03-30,915.09
2005-03-31,896.41
2005-04-01,934.55
2005-04-04,920.62
2005-04-05,912.38
2005-04-06,921.64
2005-04-07,945.57
2005-04-08,949.47
2005-04-11,957.34
2005-04-12,947.12
2005-04-13,951.2
2005-04-14,954.14
2005-04-15,931.67
2005-04-18,910.89
2005-04-19,905.05
2005-04-20,902.22
2005-04-21,886.44
2005-04-22,870.01
2005-04-25,847.81
2005-04-26,858.11
2005-04-27,857.95
2005-04-28,863.45
2005-04-29,860.39
2005-05-09,851.21
2005-05-10,818.5
2005-05-11,822.77
2005-05-12,814.89
2005-05-13,819.42
2005-05-16,814.06
2005-05-17,821.05
2005-05-18,824.77
2005-05-19,828.58
2005-05-20,828.08
2005-05-23,816.2
2005-05-24,811.67
2005-05-25,817.67
2005-05-26,812.69
2005-05-27,806.25
2005-05-30,799.4
2005-05-31,802.04
2005-06-01,795.82
2005-06-02,779.23
2005-06-03,772.83
2005-06-06,778.4
2005-06-07,795.42
2005-06-08,845.06
2005-06-09,858.75
2005-06-10,850.02
2005-06-13,837.38
2005-06-14,841.33
2005-06-15,815.73
2005-06-16,804.04
2005-06-17,809.58
2005-06-20,823.91
2005-06-21,824.04
2005-06-22,819.49
2005-06-23,821.46
2005-06-24,813.28
2005-06-27,838.42
2005-06-28,832.16
2005-06-29,821.08
2005-06-30,813.15
2005-07-01,789.18
2005-07-04,756.03
2005-07-05,752.77
2005-07-06,750.3
2005-07-07,751.13
2005-07-08,746.29
2005-07-11,742.95
2005-07-12,740.59
2005-07-13,738.74
2005-07-14,740.05
2005-07-15,736.41
2005-07-18,712.32
2005-07-19,705.08
2005-07-20,711.01
2005-07-21,707.94
2005-07-22,728.52
2005-07-25,720.99
2005-07-26,736.72
2005-07-27,750.09
2005-07-28,755.94
2005-07-29,748.38
2005-08-01,751.05
2005-08-02,763.29
2005-08-03,781.03
2005-08-04,769.34
2005-08-05,787.93
2005-08-08,805.6
2005-08-09,814.26
2005-08-10,823.99
2005-08-11,833.68
2005-08-12,839.52
2005-08-15,839.68
2005-08-16,846.66
2005-08-17,854.61
2005-08-18,865.69
2005-08-19,828.12
2005-08-22,833.27
2005-08-23,830.74
2005-08-24,826.73
2005-08-25,836.58
2005-08-26,842.3
2005-08-29,840.04
2005-08-30,834.21
2005-08-31,845.15
2005-09-01,865.41
2005-09-02,874.16
2005-09-05,884.4
2005-09-06,892.22
2005-09-07,888.18
2005-09-08,894.74
2005-09-09,893.83
2005-09-12,883.56
2005-09-13,904.31
2005-09-14,915.13
2005-09-15,920.95
2005-09-16,918.8
2005-09-19,930.59
2005-09-20,931.89
2005-09-21,922.18
2005-09-22,907.29
2005-09-23,883.54
2005-09-26,875.03
2005-09-27,877.66
2005-09-28,863.81
2005-09-29,871.49
2005-09-30,873.11
2005-10-10,870.05
2005-10-11,878.69
2005-10-12,891.86
2005-10-13,890.86
2005-10-14,883.84
2005-10-17,878.89
2005-10-18,893.98
2005-10-19,900.68
2005-10-20,886.84
2005-10-21,898.25
2005-10-24,899.44
2005-10-25,896.69
2005-10-26,876.41
2005-10-27,856.97
2005-10-28,850.91
2005-10-31,831.18
2005-11-01,827.89
2005-11-02,843.15
2005-11-03,842.52
2005-11-04,835.22
2005-11-07,842.06
2005-11-08,849.11
2005-11-09,852.03
2005-11-10,843.62
2005-11-11,828.39
2005-11-14,827.58
2005-11-15,832.99
2005-11-16,826.69
2005-11-17,830.37
2005-11-18,845.7
2005-11-21,849.3
2005-11-22,847.45
2005-11-23,838.56
2005-11-24,843.96
2005-11-25,841.78
2005-11-28,841.88
2005-11-29,839.25
2005-11-30,829.7
2005-12-01,832.12
