,中证500
2005-01-04,984.8
2005-01-05,985.68
2005-01-06,990.79
2005-01-07,990.45
2005-01-10,993.12
2005-01-11,999.86
2005-01-12,998.36
2005-01-13,1005.35
2005-01-14,999.27
2005-01-17,974.33
2005-01-18,974.15
2005-01-19,981.23
2005-01-20,966.89
2005-01-21,951.43
2005-01-24,998.37
2005-01-25,989.95
2005-01-26,985.67
2005-01-27,970.35
2005-01-28,949.11
2005-01-31,921.58
2005-02-01,911.93
2005-02-02,913.03
2005-02-03,944.76
2005-02-04,943.47
2005-02-16,965.94
2005-02-17,964.32
2005-02-18,964.55
2005-02-21,964.47
2005-02-22,980.51
2005-02-23,1002.8
2005-02-24,1012.45
2005-02-25,1023.74
2005-02-28,1014.94
2005-03-01,1011.56
2005-03-02,1005.34
2005-03-03,996.36
2005-03-04,1001.85
2005-03-07,1001.86
2005-03-08,1007.68
2005-03-09,1024.89
2005-03-10,1002.42
2005-03-11,999.11
2005-03-14,991.06
2005-03-15,992.02
2005-03-16,977.13
2005-03-17,970.34
2005-03-18,945.6
2005-03-21,940.09
2005-03-22,918.09
2005-03-23,914.54
2005-03-24,914.65
2005-03-25,927.18
2005-03-28,909.17
2005-03-29,916.65
2005-03-30,887.98
2005-03-31,880.88
2005-04-01,884.63
2005-04-04,904.62
2005-04-05,899.8
2005-04-06,893.03
2005-04-07,917.63
2005-04-08,928.06
2005-04-11,943.72
2005-04-12,927.11
2005-04-13,932.31
2005-04-14,934.13
2005-04-15,911.32
2005-04-18,895.28
2005-04-19,893.29
2005-04-20,880.93
2005-04-21,863.14
2005-04-22,851.34
2005-04-25,829.55
2005-04-26,835.86
2005-04-27,839.56
2005-04-28,825.51
2005-04-29,845.44
2005-05-09,818.11
2005-05-10,791.1
2005-05-11,809.58
2005-05-12,799.82
2005-05-13,801.87
2005-05-16,802.82
2005-05-17,803.42
2005-05-18,811.04
2005-05-19,814.15
2005-05-20,818.37
2005-05-23,793.05
2005-05-24,788.82
2005-05-25,803.94
2005-05-26,795.43
2005-05-27,789.86
2005-05-30,783.85
2005-05-31,793.88
2005-06-01,774.35
2005-06-02,764.15
2005-06-03,755.26
2005-06-06,751.32
2005-06-07,776.12
2005-06-08,782.01
2005-06-09,829.28
2005-06-10,827.75
2005-06-13,818.58
2005-06-14,817.53
2005-06-15,794.85
2005-06-16,786.01
2005-06-17,796.89
2005-06-20,786.43
2005-06-21,813.28
2005-06-22,808.77
2005-06-23,808.56
2005-06-24,802.49
2005-06-27,817.28
2005-06-28,817.29
2005-06-29,813.08
2005-06-30,790.76
2005-07-01,758.71
2005-07-04,732.86
2005-07-05,739.62
2005-07-06,738.38
2005-07-07,740.49
2005-07-08,722.28
2005-07-11,712.97
2005-07-12,708.99
2005-07-13,729.59
2005-07-14,729.27
2005-07-15,712.44
2005-07-18,694.85
2005-07-19,692.7
2005-07-20,699.19
2005-07-21,695.38
2005-07-22,704.23
2005-07-25,714.68
2005-07-26,718.6
2005-07-27,731.08
2005-07-28,744.02
2005-07-29,739.4
2005-08-01,742.9
2005-08-02,746.82
2005-08-03,763.87
2005-08-04,761.36
2005-08-05,765.39
2005-08-08,790.18
2005-08-09,794.18
2005-08-10,804.52
2005-08-11,820.29
2005-08-12,811.38
2005-08-15,814.56
2005-08-16,830.73
2005-08-17,823.44
2005-08-18,819.88
2005-08-19,803.28
2005-08-22,817.17
2005-08-23,809.46
2005-08-24,816.61
2005-08-25,821.58
2005-08-26,830.58
2005-08-29,826.36
2005-08-30,827.09
2005-08-31,822.17
2005-09-01,842.81
2005-09-02,861.48
2005-09-05,871.88
2005-09-06,860.36
2005-09-07,857.76
2005-09-08,878.28
2005-09-09,875.61
2005-09-12,874.77
2005-09-13,883.46
2005-09-14,902.56
2005-09-15,910.77
2005-09-16,910.84
2005-09-19,915.93
2005-09-20,915.14
2005-09-21,908.98
2005-09-22,866.95
2005-09-23,868.16
2005-09-26,862.19
2005-09-27,856.5
2005-09-28,849.89
2005-09-29,852.04
2005-09-30,866.83
2005-10-10,857.97
2005-10-11,854.27
2005-10-12,874.98
2005-10-13,881.23
2005-10-14,873.46
2005-10-17,868.46
2005-10-18,878.45
2005-10-19,884.99
2005-10-20,872.48
2005-10-21,885.28
