,中证500
2005-01-04,996.68
2005-01-05,986.57
2005-01-06,1003.49
2005-01-07,993.43
2005-01-10,996.93
2005-01-11,1006.21
2005-01-12,1008.01
2005-01-13,1008.1
2005-01-14,1012.7
2005-01-17,990.99
2005-01-18,977.6
2005-01-19,991.29
2005-01-20,983.2
2005-01-21,971.5
2005-01-24,1009.95
2005-01-25,1006.0
2005-01-26,997.64
2005-01-27,986.15
2005-01-28,971.37
2005-01-31,948.44
2005-02-01,919.8
2005-02-02,913.03
2005-02-03,963.75
2005-02-04,944.45
2005-02-16,967.43
2005-02-17,971.84
2005-02-18,977.12
2005-02-21,965.0
2005-02-22,982.42
2005-02-23,1008.29
2005-02-24,1018.29
2005-02-25,1024.57
2005-02-28,1023.19
2005-03-01,1020.6
2005-03-02,1021.36
2005-03-03,1004.1
2005-03-04,1011.2
2005-03-07,1004.34
2005-03-08,1007.68
2005-03-09,1031.6
2005-03-10,1032.27
2005-03-11,1003.78
2005-03-14,1009.18
2005-03-15,1007.89
2005-03-16,992.64
2005-03-17,983.11
2005-03-18,969.12
2005-03-21,947.57
2005-03-22,948.78
2005-03-23,921.07
2005-03-24,922.18
2005-03-25,933.17
2005-03-28,930.17
2005-03-29,922.66
2005-03-30,915.09
2005-03-31,887.07
2005-04-01,895.23
2005-04-04,919.14
2005-04-05,908.19
2005-04-06,901.74
2005-04-07,919.24
2005-04-08,931.77
2005-04-11,949.85
2005-04-12,947.12
2005-04-13,932.31
2005-04-14,952.54
2005-04-15,931.67
2005-04-18,910.89
2005-04-19,899.93
2005-04-20,902.22
2005-04-21,881.68
2005-04-22,865.82
2005-04-25,846.14
2005-04-26,839.25
2005-04-27,857.95
2005-04-28,837.38
2005-04-29,860.39
2005-05-09,848.09
2005-05-10,814.77
2005-05-11,816.82
2005-05-12,810.16
2005-05-13,806.73
2005-05-16,814.06
2005-05-17,806.81
2005-05-18,818.12
2005-05-19,824.83
2005-05-20,824.57
2005-05-23,816.2
2005-05-24,791.13
2005-05-25,808.52
2005-05-26,808.66
2005-05-27,797.18
2005-05-30,788.64
2005-05-31,798.33
2005-06-01,795.82
2005-06-02,777.47
2005-06-03,767.67
2005-06-06,764.66
2005-06-07,779.72
2005-06-08,782.01
2005-06-09,840.23
2005-06-10,850.02
2005-06-13,830.8
2005-06-14,835.35
2005-06-15,815.73
2005-06-16,795.76
2005-06-17,805.75
2005-06-20,799.47
2005-06-21,823.54
2005-06-22,814.91
2005-06-23,818.19
2005-06-24,807.68
2005-06-27,817.28
2005-06-28,832.16
2005-06-29,818.09
2005-06-30,813.15
2005-07-01,789.18
2005-07-04,756.03
2005-07-05,747.89
2005-07-06,744.8
2005-07-07,743.32
2005-07-08,746.29
2005-07-11,725.64
2005-07-12,712.31
2005-07-13,738.61
2005-07-14,732.01
2005-07-15,732.67
2005-07-18,712.32
2005-07-19,695.77
2005-07-20,703.17
2005-07-21,707.05
2005-07-22,704.61
2005-07-25,720.61
2005-07-26,718.62
2005-07-27,736.29
2005-07-28,750.4
2005-07-29,746.59
2005-08-01,744.77
2005-08-02,750.96
2005-08-03,764.94
2005-08-04,767.57
2005-08-05,765.39
2005-08-08,792.4
2005-08-09,800.84
2005-08-10,814.76
2005-08-11,823.72
2005-08-12,833.46
2005-08-15,814.84
2005-08-16,841.32
2005-08-17,837.9
2005-08-18,855.88
2005-08-19,816.96
