,中证500
2005-01-04,2323762.0
2005-01-05,3486101.0
2005-01-06,2933905.0
2005-01-07,3391626.0
2005-01-10,2949405.0
2005-01-11,3136115.0
2005-01-12,3196393.0
2005-01-13,4715733.0
2005-01-14,4016937.0
2005-01-17,4358603.0
2005-01-18,4516132.0
2005-01-19,4255249.0
2005-01-20,4652048.0
2005-01-21,6185255.0
2005-01-24,7323355.0
2005-01-25,4694803.0
2005-01-26,4113900.0
2005-01-27,4123213.0
2005-01-28,4072373.0
2005-01-31,4095099.0
2005-02-01,4199745.0
2005-02-02,6553566.0
2005-02-03,6371300.0
2005-02-04,5193013.0
2005-02-16,4693322.0
2005-02-17,4031958.0
2005-02-18,4112811.0
2005-02-21,4765203.0
2005-02-22,9575789.0
2005-02-23,10201823.0
2005-02-24,8683232.0
2005-02-25,9650761.0
2005-02-28,7028051.0
2005-03-01,6675636.0
2005-03-02,7457971.0
2005-03-03,5372494.0
2005-03-04,4525189.0
2005-03-07,4475140.0
2005-03-08,7187007.0
2005-03-09,8257822.0
2005-03-10,7106020.0
2005-03-11,5955310.0
2005-03-14,7550503.0
2005-03-15,6499568.0
2005-03-16,5311964.0
2005-03-17,5313307.0
2005-03-18,5393917.0
2005-03-21,4192190.0
2005-03-22,5795013.0
2005-03-23,5290283.0
2005-03-24,4319201.0
2005-03-25,4189844.0
2005-03-28,4019570.0
2005-03-29,3698567.0
2005-03-30,4689495.0
2005-03-31,4125613.0
2005-04-01,6921793.0
2005-04-04,5333838.0
2005-04-05,4572502.0
2005-04-06,6805027.0
2005-04-07,9540235.0
2005-04-08,7997380.0
2005-04-11,8688242.0
2005-04-12,6039966.0
2005-04-13,8141086.0
2005-04-14,6983687.0
2005-04-15,6661596.0
2005-04-18,5003269.0
2005-04-19,4798602.0
2005-04-20,5321650.0
2005-04-21,6250349.0
2005-04-22,6224884.0
2005-04-25,5819861.0
2005-04-26,6199955.0
2005-04-27,5943654.0
2005-04-28,7643112.0
2005-04-29,6013685.0
2005-05-09,4206100.0
2005-05-10,4946935.0
2005-05-11,4637579.0
2005-05-12,4597105.0
2005-05-13,5197528.0
2005-05-16,4537502.0
2005-05-17,4955081.0
2005-05-18,4558077.0
2005-05-19,4776276.0
2005-05-20,4327522.0
2005-05-23,4312715.0
2005-05-24,4695292.0
2005-05-25,5294537.0
2005-05-26,4838787.0
2005-05-27,4167631.0
2005-05-30,3848708.0
2005-05-31,4299736.0
2005-06-01,4648727.0
2005-06-02,4950638.0
2005-06-03,4586315.0
2005-06-06,4763542.0
2005-06-07,7087300.0
2005-06-08,14973544.0
2005-06-09,15311451.0
2005-06-10,10035948.0
2005-06-13,6894838.0
2005-06-14,7401586.0
2005-06-15,5884532.0
2005-06-16,5514482.0
2005-06-17,5478499.0
2005-06-20,7966476.0
2005-06-21,6385113.0
2005-06-22,4992737.0
2005-06-23,5246658.0
2005-06-24,4276755.0
2005-06-27,9280984.0
2005-06-28,5747787.0
2005-06-29,5149890.0
2005-06-30,5354700.0
2005-07-01,6469073.0
2005-07-04,5909701.0
2005-07-05,4391462.0
2005-07-06,4280243.0
2005-07-07,3925134.0
2005-07-08,5099620.0
2005-07-11,5045519.0
2005-07-12,6903271.0
2005-07-13,5718450.0
2005-07-14,5236366.0
2005-07-15,5942104.0
2005-07-18,4817896.0
2005-07-19,4185245.0
2005-07-20,4243009.0
2005-07-21,4745981.0
2005-07-22,9508555.0
2005-07-25,5771020.0
2005-07-26,9191361.0
2005-07-27,9472478.0
2005-07-28,10747152.0
2005-07-29,7056953.0
2005-08-01,6317943.0
2005-08-02,8902167.0
2005-08-03,14083549.0
2005-08-04,8661784.0
2005-08-05,12490262.0
2005-08-08,15361394.0
2005-08-09,14016400.0
2005-08-10,15201123.0
2005-08-11,16463304.0
2005-08-12,17643086.0
2005-08-15,12625261.0
2005-08-16,15515941.0
2005-08-17,16792374.0
2005-08-18,21332120.0
2005-08-19,13860548.0
2005-08-22,9724413.0
2005-08-23,9183851.0
2005-08-24,8841057.0
2005-08-25,10375848.0
2005-08-26,11880800.0
2005-08-29,10782556.0
2005-08-30,9242035.0
2005-08-31,11349943.0
2005-09-01,17034066.0
2005-09-02,15365547.0
2005-09-05,12504192.0
2005-09-06,17050904.0
2005-09-07,13957595.0
2005-09-08,14699157.0
2005-09-09,10399467.0
2005-09-12,7656523.0
2005-09-13,12496272.0
2005-09-14,16597333.0
2005-09-15,13582384.0
2005-09-16,10961532.0
2005-09-19,12056208.0
2005-09-20,15747605.0
2005-09-21,15603139.0
2005-09-22,14408321.0
2005-09-23,9799784.0
2005-09-26,6965689.0
2005-09-27,8805881.0
2005-09-28,7510781.0
2005-09-29,8835360.0
2005-09-30,7529963.0
2005-10-10,6119495.0
2005-10-11,7635267.0
2005-10-12,9459205.0
2005-10-13,8287048.0
2005-10-14,7954049.0
2005-10-17,7687888.0
2005-10-18,9716210.0
2005-10-19,9843633.0
2005-10-20,9521935.0
2005-10-21,10024927.0
2005-10-24,8789354.0
2005-10-25,8676966.0
2005-10-26,9382014.0
2005-10-27,8103937.0
2005-10-28,8668966.0
2005-10-31,6492574.0
2005-11-01,6944239.0
2005-11-02,9095992.0
2005-11-03,7559623.0
2005-11-04,6449610.0
2005-11-07,6132963.0
2005-11-08,7297838.0
2005-11-09,7612746.0
2005-11-10,8439580.0
2005-11-11,6380093.0
2005-11-14,4468436.0
2005-11-15,5871615.0
2005-11-16,5542224.0
2005-11-17,5533816.0
2005-11-18,9690756.0
2005-11-21,6608677.0
2005-11-22,6275090.0
2005-11-23,4940421.0
2005-11-24,5531201.0
2005-11-25,4849548.0
2005-11-28,4591305.0
2005-11-29,4499554.0
2005-11-30,4805174.0
2005-12-01,3927208.0
2005-12-02,4399086.0
2005-12-05,4895370.0
2005-12-06,3727782.0
2005-12-07,3755355.0
2005-12-08,3896999.0
2005-12-09,5563455.0
2005-12-12,5468310.0
2005-12-13,4917438.0
2005-12-14,5933929.0
2005-12-15,6089472.0
2005-12-16,5199474.0
2005-12-19,4859568.0
2005-12-20,4454202.0
2005-12-21,5205742.0
2005-12-22,5080676.0
2005-12-23,6446099.0
2005-12-26,7860415.0
2005-12-27,6528869.0
2005-12-28,5615717.0
2005-12-29,8617095.0
2005-12-30,7552316.0
2006-01-04,8039010.0
2006-01-05,10885811.0
2006-01-06,13370231.0
2006-01-09,12361296.0
2006-01-10,11200080.0
2006-01-11,12953141.0
2006-01-12,14024614.0
2006-01-13,14459388.0
2006-01-16,12592136.0
2006-01-17,8918319.0
2006-01-18,11474786.0
2006-01-19,13989234.0
2006-01-20,14779172.0
2006-01-23,14125714.0
2006-01-24,14103819.0
2006-01-25,12817111.0
2006-02-06,12923121.0
2006-02-07,17016908.0
2006-02-08,13588630.0
2006-02-09,11835024.0
2006-02-10,11797244.0
2006-02-13,11393721.0
2006-02-14,10447628.0
2006-02-15,12322016.0
2006-02-16,14477526.0
2006-02-17,11246007.0
2006-02-20,9821570.0
2006-02-21,10166777.0
2006-02-22,10339439.0
2006-02-23,9184009.0
2006-02-24,10007130.0
2006-02-27,9025472.0
2006-02-28,8702274.0
2006-03-01,9658441.0
2006-03-02,11407653.0
2006-03-03,9435551.0
2006-03-06,7323049.0
2006-03-07,8621116.0
2006-03-08,7226656.0
2006-03-09,6110908.0
2006-03-10,6049099.0
2006-03-13,5621891.0
2006-03-14,6342600.0
2006-03-15,7998642.0
2006-03-16,8182272.0
2006-03-17,8944893.0
2006-03-20,9120389.0
2006-03-21,11865276.0
2006-03-22,11514166.0
2006-03-23,13897920.0
2006-03-24,12647982.0
2006-03-27,10706853.0
2006-03-28,13360061.0
2006-03-29,15784085.0
2006-03-30,13329955.0
2006-03-31,13282342.0
2006-04-03,17490890.0
2006-04-04,18674872.0
2006-04-05,18667858.0
2006-04-06,21173354.0
2006-04-07,21288522.0
2006-04-10,21976514.0
2006-04-11,22595820.0
2006-04-12,20140516.0
2006-04-13,22614392.0
2006-04-14,16434914.0
2006-04-17,19137336.0
2006-04-18,17175728.0
2006-04-19,18561782.0
2006-04-20,19770248.0
2006-04-21,20485060.0
2006-04-24,22778340.0
2006-04-25,20744156.0
2006-04-26,22602808.0
2006-04-27,18574312.0
2006-04-28,20532796.0
2006-05-08,22440402.0
2006-05-09,29808582.0
2006-05-10,31202884.0
2006-05-11,36588884.0
2006-05-12,32967164.0
2006-05-15,40668940.0
2006-05-16,39381620.0
2006-05-17,32137140.0
2006-05-18,28510402.0
2006-05-19,30783976.0
2006-05-22,33218174.0
2006-05-23,31406252.0
2006-05-24,26600866.0
2006-05-25,19663824.0
2006-05-26,20931172.0
2006-05-29,23429286.0
2006-05-30,24941388.0
2006-05-31,27598876.0
2006-06-01,33069584.0
2006-06-02,38325544.0
2006-06-05,29413874.0
2006-06-06,25329400.0
2006-06-07,27931262.0
2006-06-08,24671632.0
2006-06-09,23220740.0
2006-06-12,14672115.0
2006-06-13,14557767.0
2006-06-14,13987922.0
2006-06-15,13827267.0
2006-06-16,15949331.0
2006-06-19,17174544.0
2006-06-20,17933394.0
2006-06-21,18241678.0
2006-06-22,16067073.0
2006-06-23,16886956.0
2006-06-26,20453222.0
2006-06-27,20306082.0
2006-06-28,17768400.0
2006-06-29,24385372.0
2006-06-30,24636734.0
2006-07-03,25348764.0
2006-07-04,27850126.0
2006-07-05,21574748.0
2006-07-06,25426140.0
2006-07-07,25026864.0
2006-07-10,19808480.0
2006-07-11,20802044.0
2006-07-12,25275444.0
2006-07-13,34944608.0
2006-07-14,21196876.0
2006-07-17,17734058.0
2006-07-18,17912038.0
2006-07-19,19013808.0
2006-07-20,16248454.0
2006-07-21,15893080.0
2006-07-24,16307505.0
2006-07-25,17835350.0
2006-07-26,17399888.0
2006-07-27,19791144.0
2006-07-28,18604576.0
2006-07-31,17977062.0
2006-08-01,14318330.0
2006-08-02,13078178.0
2006-08-03,11173162.0
2006-08-04,13257335.0
2006-08-07,12436967.0
2006-08-08,12371064.0
2006-08-09,11927142.0
2006-08-10,12458222.0
2006-08-11,12293776.0
2006-08-14,12974801.0
2006-08-15,10117217.0
2006-08-16,13800771.0
2006-08-17,12259591.0
2006-08-18,10095910.0
2006-08-21,11813110.0
2006-08-22,14067522.0
2006-08-23,13522173.0
2006-08-24,12826365.0
2006-08-25,15006759.0
2006-08-28,19226082.0
2006-08-29,24396300.0
2006-08-30,16136869.0
2006-08-31,17971384.0
2006-09-01,18102292.0
2006-09-04,16296001.0
2006-09-05,19483676.0
2006-09-06,17850908.0
2006-09-07,14341706.0
2006-09-08,11912110.0
2006-09-11,14193197.0
2006-09-12,15312015.0
2006-09-13,14936861.0
2006-09-14,15010711.0
2006-09-15,15522868.0
2006-09-18,17494032.0
2006-09-19,19406254.0
2006-09-20,17609936.0
2006-09-21,16687352.0
2006-09-22,18487552.0
2006-09-25,17092074.0
2006-09-26,15939399.0
2006-09-27,13780127.0
2006-09-28,16197201.0
2006-09-29,19163800.0
2006-10-09,21129866.0
2006-10-10,25278768.0
2006-10-11,21603318.0
2006-10-12,22633592.0
2006-10-13,17678774.0
2006-10-16,18015112.0
2006-10-17,16322135.0
2006-10-18,15533562.0
2006-10-19,18859082.0
2006-10-20,19020176.0
2006-10-23,21134776.0
2006-10-24,17996568.0
2006-10-25,19871334.0
2006-10-26,15862159.0
2006-10-27,16776153.0
2006-10-30,13871483.0
2006-10-31,14091961.0
2006-11-01,15680124.0
2006-11-02,15894523.0
2006-11-03,14239271.0
2006-11-06,14907359.0
2006-11-07,16321673.0
2006-11-08,12096574.0
2006-11-09,13194955.0
2006-11-10,15683384.0
2006-11-13,14993645.0
2006-11-14,12422880.0
2006-11-15,13274863.0
2006-11-16,15009693.0
2006-11-17,12995218.0
2006-11-20,14596352.0
2006-11-21,14237566.0
2006-11-22,18195598.0
2006-11-23,16538872.0
2006-11-24,19774506.0
2006-11-27,19812298.0
2006-11-28,19723052.0
2006-11-29,20951208.0
2006-11-30,27614668.0
2006-12-01,27637902.0
2006-12-04,29837776.0
2006-12-05,35176816.0
2006-12-06,37482820.0
2006-12-07,32934336.0
2006-12-08,25808656.0
2006-12-11,20101756.0
2006-12-12,21683956.0
2006-12-13,18968560.0
2006-12-14,21859160.0
2006-12-15,26099504.0
2006-12-18,30747036.0
2006-12-19,32015720.0
2006-12-20,33838260.0
2006-12-21,36040828.0
2006-12-22,27420472.0
2006-12-25,26413506.0
2006-12-26,23931456.0
2006-12-27,20997488.0
2006-12-28,24081394.0
2006-12-29,24615518.0
2007-01-04,32129868.0
2007-01-05,29545474.0
2007-01-08,39719320.0
2007-01-09,42845908.0
2007-01-10,45406336.0
2007-01-11,53883464.0
2007-01-12,44080092.0
2007-01-15,38812632.0
2007-01-16,48074416.0
2007-01-17,58832888.0
2007-01-18,50949460.0
2007-01-19,57925168.0
2007-01-22,63589200.0
2007-01-23,61080176.0
2007-01-24,51041224.0
2007-01-25,48175660.0
2007-01-26,44759404.0
2007-01-29,45646664.0
2007-01-30,50247688.0
2007-01-31,49046924.0
2007-02-01,42338844.0
2007-02-02,38610608.0
2007-02-05,30134110.0
2007-02-06,30876184.0
2007-02-07,38327048.0
2007-02-08,39053896.0
2007-02-09,37161824.0
2007-02-12,36188352.0
2007-02-13,38163784.0
2007-02-14,44065584.0
2007-02-15,51516460.0
2007-02-16,54056752.0
2007-02-26,48963084.0
2007-02-27,72404256.0
2007-02-28,53025028.0
2007-03-01,58828140.0
2007-03-02,47238104.0
2007-03-05,49535976.0
2007-03-06,33321666.0
2007-03-07,37230708.0
2007-03-08,43077064.0
2007-03-09,48031704.0
2007-03-12,51367092.0
2007-03-13,53596160.0
2007-03-14,56580272.0
2007-03-15,51009808.0
2007-03-16,55633132.0
2007-03-19,47649880.0
2007-03-20,43558984.0
2007-03-21,48276756.0
2007-03-22,56005696.0
2007-03-23,52272356.0
2007-03-26,56736776.0
2007-03-27,56957800.0
2007-03-28,67009340.0
2007-03-29,55994800.0
2007-03-30,35962416.0
2007-04-02,37673588.0
2007-04-03,46766984.0
2007-04-04,53126352.0
2007-04-05,52801656.0
2007-04-06,56252056.0
