,创业板
2010-06-01,578031.0
2010-06-02,445508.16
2010-06-03,663585.5
2010-06-04,551224.94
2010-06-07,950013.88
2010-06-08,692974.75
2010-06-09,899486.5
2010-06-10,824273.06
2010-06-11,844904.06
2010-06-17,675741.0
2010-06-18,582772.0
2010-06-21,560426.88
2010-06-22,506748.0
2010-06-23,460867.44
2010-06-24,390494.81
2010-06-25,611833.56
2010-06-28,416641.63
2010-06-29,595015.25
2010-06-30,432201.31
2010-07-01,403856.44
2010-07-02,456946.75
2010-07-05,308916.53
2010-07-06,399539.69
2010-07-07,364605.34
2010-07-08,516545.34
2010-07-09,543575.0
2010-07-12,456695.91
2010-07-13,511477.16
2010-07-14,498649.44
2010-07-15,429847.25
2010-07-16,343881.38
2010-07-19,311946.09
2010-07-20,473851.66
2010-07-21,615452.25
2010-07-22,435667.0
2010-07-23,533908.63
2010-07-26,462604.38
2010-07-27,457408.56
2010-07-28,680819.56
2010-07-29,695802.88
2010-07-30,578824.19
2010-08-02,658524.19
2010-08-03,635281.88
2010-08-04,532747.75
2010-08-05,650316.63
2010-08-06,852661.13
2010-08-09,854773.88
2010-08-10,823870.06
2010-08-11,591719.19
2010-08-12,896117.69
2010-08-13,653917.0
2010-08-16,734046.75
2010-08-17,702658.06
2010-08-18,665430.81
2010-08-19,626993.38
2010-08-20,946896.19
2010-08-23,669192.5
2010-08-24,627278.13
2010-08-25,773203.06
2010-08-26,624578.69
2010-08-27,788776.19
2010-08-30,850181.56
2010-08-31,805454.44
2010-09-01,876361.0
2010-09-02,1104856.0
2010-09-03,1246859.75
2010-09-06,985269.38
2010-09-07,657173.06
2010-09-08,657784.13
2010-09-09,820926.88
2010-09-10,738810.63
2010-09-13,689953.75
2010-09-14,696865.63
2010-09-15,793795.56
2010-09-16,590296.63
2010-09-17,539568.81
2010-09-20,463837.03
2010-09-21,368526.09
2010-09-27,360837.03
2010-09-28,675689.75
2010-09-29,451222.28
2010-09-30,396767.88
2010-10-08,527291.44
2010-10-11,647945.63
2010-10-12,505433.03
2010-10-13,766994.25
2010-10-14,699695.25
2010-10-15,640327.0
2010-10-18,597525.88
2010-10-19,1178027.88
2010-10-20,1173025.13
2010-10-21,715569.13
2010-10-22,800847.19
2010-10-25,934980.31
2010-10-26,1125650.38
2010-10-27,896338.75
2010-10-28,847149.25
2010-10-29,1154418.0
2010-11-01,1424263.75
2010-11-02,1244745.88
2010-11-03,819469.25
2010-11-04,639280.63
2010-11-05,825289.19
2010-11-08,973049.25
2010-11-09,995805.38
2010-11-10,1113095.25
2010-11-11,1189969.13
2010-11-12,1621764.13
2010-11-15,1278141.75
2010-11-16,1591942.5
2010-11-17,1087505.88
2010-11-18,847064.5
2010-11-19,1209680.75
2010-11-22,1566236.63
2010-11-23,1129667.38
2010-11-24,1121007.25
2010-11-25,1106924.38
2010-11-26,932684.0
2010-11-29,1078604.38
2010-11-30,1252579.75
2010-12-01,644947.69
2010-12-02,720834.19
2010-12-03,674812.0
2010-12-06,618440.19
2010-12-07,511990.03
2010-12-08,547929.25
2010-12-09,785962.81
2010-12-10,667418.94
2010-12-13,973147.88
2010-12-14,856948.88
2010-12-15,1028932.69
2010-12-16,881623.06
2010-12-17,859973.94
2010-12-20,1180220.75
2010-12-21,793569.0
2010-12-22,921536.13
2010-12-23,829588.94
2010-12-24,704527.13
2010-12-27,653509.44
2010-12-28,577480.38
2010-12-29,676259.88
2010-12-30,590589.56
2010-12-31,586973.44
2011-01-04,740300.69
2011-01-05,734184.06
2011-01-06,686923.38
2011-01-07,954823.56
2011-01-10,721941.25
2011-01-11,585369.56
2011-01-12,523928.47
2011-01-13,731782.38
2011-01-14,623560.06
2011-01-17,692248.94
2011-01-18,402736.91
2011-01-19,474898.84
2011-01-20,577051.38
2011-01-21,507548.53
2011-01-24,550029.44
2011-01-25,545679.13
2011-01-26,447107.63
2011-01-27,447825.09
2011-01-28,384595.13
2011-01-31,484398.28
