,创业板
2010-06-01,994.79
2010-06-02,997.12
2010-06-03,1026.7
2010-06-04,1027.68
2010-06-07,1075.22
2010-06-08,1075.5
2010-06-09,1102.1
2010-06-10,1119.11
2010-06-11,1128.23
2010-06-17,1129.69
2010-06-18,1053.14
2010-06-21,1043.16
2010-06-22,1057.36
2010-06-23,1056.35
2010-06-24,1059.75
2010-06-25,1046.21
2010-06-28,1014.41
2010-06-29,992.23
2010-06-30,921.81
2010-07-01,921.21
2010-07-02,885.34
2010-07-05,870.86
2010-07-06,898.45
2010-07-07,908.55
2010-07-08,914.3
2010-07-09,936.53
2010-07-12,941.07
2010-07-13,936.64
2010-07-14,937.93
2010-07-15,930.56
2010-07-16,895.06
2010-07-19,910.18
2010-07-20,937.55
2010-07-21,959.04
2010-07-22,950.21
2010-07-23,964.74
2010-07-26,966.73
2010-07-27,968.04
2010-07-28,972.53
2010-07-29,982.02
2010-07-30,971.66
2010-08-02,994.23
2010-08-03,996.26
2010-08-04,978.01
2010-08-05,998.1
2010-08-06,1011.39
2010-08-09,1032.34
2010-08-10,1034.33
2010-08-11,1006.45
2010-08-12,1007.58
2010-08-13,1007.52
2010-08-16,1031.05
2010-08-17,1036.82
2010-08-18,1035.61
2010-08-19,1033.25
2010-08-20,1022.45
2010-08-23,1001.18
2010-08-24,1007.76
2010-08-25,1002.33
2010-08-26,984.87
2010-08-27,1000.86
2010-08-30,1025.15
2010-08-31,1029.8
2010-09-01,1029.81
2010-09-02,1018.28
2010-09-03,1045.21
2010-09-06,1043.24
2010-09-07,1022.62
2010-09-08,1027.64
2010-09-09,1040.67
2010-09-10,1037.51
2010-09-13,1045.39
2010-09-14,1046.13
2010-09-15,1030.02
2010-09-16,994.95
2010-09-17,981.73
2010-09-20,975.26
2010-09-21,953.83
2010-09-27,951.84
2010-09-28,949.89
2010-09-29,944.17
2010-09-30,942.54
2010-10-08,963.18
2010-10-11,961.17
2010-10-12,959.98
2010-10-13,962.74
2010-10-14,975.91
2010-10-15,957.77
2010-10-18,941.87
2010-10-19,1005.59
