,创业板
2010-06-01,948.12
2010-06-02,952.61
2010-06-03,997.78
2010-06-04,986.5
2010-06-07,1001.7
2010-06-08,1050.96
2010-06-09,1069.43
2010-06-10,1076.28
2010-06-11,1118.71
2010-06-17,1064.84
2010-06-18,993.17
2010-06-21,976.41
2010-06-22,1033.65
2010-06-23,1023.74
2010-06-24,1041.54
2010-06-25,999.16
2010-06-28,984.22
2010-06-29,912.54
2010-06-30,881.36
2010-07-01,882.19
2010-07-02,832.62
2010-07-05,842.73
2010-07-06,857.8
2010-07-07,890.34
2010-07-08,887.03
2010-07-09,896.89
2010-07-12,924.06
2010-07-13,906.3
2010-07-14,916.07
2010-07-15,892.56
2010-07-16,869.02
2010-07-19,878.07
2010-07-20,909.54
2010-07-21,938.16
2010-07-22,932.02
2010-07-23,948.13
2010-07-26,954.76
2010-07-27,955.73
2010-07-28,954.52
2010-07-29,965.61
2010-07-30,955.92
2010-08-02,968.45
2010-08-03,975.65
2010-08-04,955.93
2010-08-05,978.33
2010-08-06,985.63
2010-08-09,1013.25
2010-08-10,993.99
2010-08-11,990.94
2010-08-12,987.98
2010-08-13,986.62
2010-08-16,1005.05
2010-08-17,1023.08
2010-08-18,1018.5
2010-08-19,1021.7
2010-08-20,993.56
2010-08-23,991.52
2010-08-24,987.22
2010-08-25,976.55
2010-08-26,973.0
2010-08-27,975.72
2010-08-30,1002.99
2010-08-31,1015.13
2010-09-01,987.59
2010-09-02,996.52
2010-09-03,1017.51
2010-09-06,1007.43
2010-09-07,1007.64
2010-09-08,1016.84
2010-09-09,1019.69
2010-09-10,1016.19
2010-09-13,1033.25
2010-09-14,1028.77
2010-09-15,987.05
2010-09-16,964.53
2010-09-17,967.56
2010-09-20,947.41
2010-09-21,930.25
2010-09-27,930.87
2010-09-28,939.63
2010-09-29,924.41
2010-09-30,921.36
2010-10-08,945.62
2010-10-11,941.91
2010-10-12,945.01
2010-10-13,940.65
2010-10-14,956.86
2010-10-15,937.12
2010-10-18,913.82
2010-10-19,932.32
2010-10-20,986.03
2010-10-21,983.66
2010-10-22,991.14
2010-10-25,1018.08
2010-10-26,1020.94
2010-10-27,1028.7
2010-10-28,1023.49
2010-10-29,1042.4
2010-11-01,1071.63
2010-11-02,1074.58
2010-11-03,1040.55
2010-11-04,1037.24
2010-11-05,1058.26
2010-11-08,1077.5
2010-11-09,1102.01
2010-11-10,1113.75
2010-11-11,1132.36
2010-11-12,1080.27
2010-11-15,1086.52
2010-11-16,1111.5
2010-11-17,1080.93
2010-11-18,1077.06
2010-11-19,1105.59
2010-11-22,1151.76
2010-11-23,1148.81
2010-11-24,1174.68
2010-11-25,1177.83
2010-11-26,1179.28
2010-11-29,1193.41
2010-11-30,1146.97
2010-12-01,1169.89
2010-12-02,1177.81
2010-12-03,1148.09
2010-12-06,1124.94
2010-12-07,1123.76
2010-12-08,1158.1
2010-12-09,1144.18
2010-12-10,1136.33
2010-12-13,1175.51
2010-12-14,1204.66
2010-12-15,1209.29
2010-12-16,1209.34
2010-12-17,1222.93
2010-12-20,1180.53
2010-12-21,1204.48
2010-12-22,1199.68
2010-12-23,1175.86
2010-12-24,1140.13
2010-12-27,1100.52
2010-12-28,1080.4
2010-12-29,1091.82
2010-12-30,1106.43
2010-12-31,1117.36
2011-01-04,1140.04
2011-01-05,1146.38
2011-01-06,1134.09
2011-01-07,1119.61
2011-01-10,1089.06
2011-01-11,1068.4
2011-01-12,1071.09
2011-01-13,1089.67
2011-01-14,1065.75
2011-01-17,1025.66
2011-01-18,1014.63
2011-01-19,1023.15
2011-01-20,1020.29
2011-01-21,1013.27
2011-01-24,994.26
2011-01-25,968.32
2011-01-26,977.85
2011-01-27,984.79
2011-01-28,1011.31
2011-01-31,1014.4
2011-02-01,1026.9
2011-02-09,1021.79
2011-02-10,1024.71
2011-02-11,1065.15
2011-02-14,1072.31
2011-02-15,1082.27
2011-02-16,1083.85
2011-02-17,1103.89
2011-02-18,1098.59
2011-02-21,1094.43
2011-02-22,1087.01
2011-02-23,1087.86
2011-02-24,1094.62
2011-02-25,1085.8
2011-02-28,1087.59
2011-03-01,1091.98
2011-03-02,1077.65
2011-03-03,1062.37
2011-03-04,1056.56
2011-03-07,1069.93
2011-03-08,1074.1
