,创业板
2010-06-01,986.02
2010-06-02,967.61
2010-06-03,1002.35
2010-06-04,989.68
2010-06-07,1005.03
2010-06-08,1067.32
2010-06-09,1070.85
2010-06-10,1077.68
2010-06-11,1122.44
2010-06-17,1126.13
2010-06-18,1052.07
2010-06-21,991.96
2010-06-22,1037.04
2010-06-23,1026.86
2010-06-24,1046.76
2010-06-25,1046.21
2010-06-28,1009.22
2010-06-29,985.57
2010-06-30,898.29
2010-07-01,914.4
2010-07-02,878.95
2010-07-05,857.37
2010-07-06,859.26
2010-07-07,896.53
2010-07-08,912.0
2010-07-09,903.5
2010-07-12,931.54
2010-07-13,924.95
2010-07-14,929.75
2010-07-15,920.05
2010-07-16,885.07
2010-07-19,881.66
2010-07-20,909.54
2010-07-21,940.1
2010-07-22,938.22
2010-07-23,951.84
2010-07-26,962.76
2010-07-27,963.54
2010-07-28,955.19
2010-07-29,974.3
2010-07-30,971.66
2010-08-02,968.45
2010-08-03,995.2
2010-08-04,971.41
2010-08-05,980.27
2010-08-06,987.97
2010-08-09,1013.25
2010-08-10,1031.98
2010-08-11,991.28
2010-08-12,994.05
2010-08-13,992.63
2010-08-16,1007.5
2010-08-17,1031.08
2010-08-18,1033.71
2010-08-19,1026.98
2010-08-20,1021.46
2010-08-23,994.94
2010-08-24,993.58
2010-08-25,1000.27
2010-08-26,978.6
2010-08-27,978.51
2010-08-30,1002.99
2010-08-31,1020.75
2010-09-01,1025.68
2010-09-02,1001.6
2010-09-03,1017.64
2010-09-06,1039.46
2010-09-07,1010.12
2010-09-08,1020.23
2010-09-09,1029.11
2010-09-10,1021.87
2010-09-13,1034.39
2010-09-14,1044.3
2010-09-15,1029.52
2010-09-16,989.49
2010-09-17,976.07
2010-09-20,972.45
2010-09-21,952.07
2010-09-27,936.21
2010-09-28,949.63
2010-09-29,941.27
2010-09-30,923.83
2010-10-08,946.47
2010-10-11,960.91
2010-10-12,946.63
2010-10-13,951.33
2010-10-14,963.29
2010-10-15,954.12
2010-10-18,941.87
2010-10-19,932.83
2010-10-20,986.65
2010-10-21,1001.68
2010-10-22,991.14
2010-10-25,1018.08
2010-10-26,1041.53
2010-10-27,1034.86
2010-10-28,1024.7
2010-10-29,1042.4
2010-11-01,1071.63
2010-11-02,1108.09
2010-11-03,1063.2
2010-11-04,1041.42
2010-11-05,1067.87
2010-11-08,1077.5
2010-11-09,1110.43
2010-11-10,1115.74
2010-11-11,1137.08
2010-11-12,1126.85
2010-11-15,1087.81
2010-11-16,1154.41
2010-11-17,1115.12
2010-11-18,1090.14
2010-11-19,1106.75
2010-11-22,1153.26
2010-11-23,1172.06
2010-11-24,1176.42
2010-11-25,1212.77
2010-11-26,1184.8
2010-11-29,1195.31
2010-11-30,1219.08
2010-12-01,1176.61
2010-12-02,1187.1
2010-12-03,1177.17
2010-12-06,1157.72
2010-12-07,1132.33
2010-12-08,1160.92
2010-12-09,1158.82
2010-12-10,1139.83
2010-12-13,1175.51
2010-12-14,1211.46
2010-12-15,1217.81
2010-12-16,1209.62
2010-12-17,1222.93
2010-12-20,1235.67
2010-12-21,1212.09
2010-12-22,1214.77
2010-12-23,1198.74
2010-12-24,1170.7
2010-12-27,1145.7
2010-12-28,1098.94
2010-12-29,1091.82
2010-12-30,1113.56
2010-12-31,1117.36
2011-01-04,1142.17
2011-01-05,1153.91
2011-01-06,1153.63
2011-01-07,1132.73
2011-01-10,1124.34
2011-01-11,1089.99
2011-01-12,1083.12
2011-01-13,1094.83
2011-01-14,1092.09
2011-01-17,1066.44
2011-01-18,1021.84
2011-01-19,1025.93
2011-01-20,1047.77
2011-01-21,1014.72
2011-01-24,1024.79
2011-01-25,992.57
2011-01-26,978.07
2011-01-27,991.06
2011-01-28,1013.64
2011-01-31,1021.63
2011-02-01,1029.67
2011-02-09,1026.45
2011-02-10,1026.25
2011-02-11,1067.19
2011-02-14,1072.31
2011-02-15,1086.8
2011-02-16,1086.77
2011-02-17,1108.63
2011-02-18,1114.45
2011-02-21,1096.17
2011-02-22,1118.61
2011-02-23,1088.08
2011-02-24,1112.43
2011-02-25,1098.11
2011-02-28,1096.34
2011-03-01,1100.81
2011-03-02,1094.97
2011-03-03,1088.89
2011-03-04,1063.43
2011-03-07,1073.93
2011-03-08,1079.53
2011-03-09,1084.7
2011-03-10,1088.34
2011-03-11,1090.21
2011-03-14,1099.32
2011-03-15,1108.2
2011-03-16,1094.12
2011-03-17,1096.22
2011-03-18,1081.6
2011-03-21,1083.15
2011-03-22,1072.39
2011-03-23,1066.17
2011-03-24,1078.02
2011-03-25,1077.34
2011-03-28,1072.89
2011-03-29,1050.29
2011-03-30,1017.16
2011-03-31,1006.72
2011-04-01,1006.04
2011-04-06,1011.68
2011-04-07,993.38
2011-04-08,1004.14
2011-04-11,1021.31
2011-04-12,1000.77
2011-04-13,999.53
2011-04-14,1021.1
2011-04-15,1015.97
2011-04-18,1008.48
2011-04-19,1000.88
2011-04-20,993.94
2011-04-21,1007.98
2011-04-22,1008.17
2011-04-25,1001.08
2011-04-26,970.96
2011-04-27,956.77
2011-04-28,941.2
2011-04-29,901.16
2011-05-03,911.79
2011-05-04,919.67
2011-05-05,901.48
2011-05-06,910.14
2011-05-09,920.12
2011-05-10,932.88
2011-05-11,931.51
2011-05-12,927.15
2011-05-13,909.25
2011-05-16,911.34
2011-05-17,903.98
2011-05-18,891.99
2011-05-19,891.48
2011-05-20,884.06
2011-05-23,873.31
2011-05-24,836.79
2011-05-25,867.68
2011-05-26,843.62
2011-05-27,830.61
2011-05-30,819.87
2011-05-31,836.35
2011-06-01,846.48
2011-06-02,841.52
2011-06-03,833.44
2011-06-07,845.25
2011-06-08,846.67
2011-06-09,843.58
2011-06-10,825.55
2011-06-13,820.24
2011-06-14,829.51
2011-06-15,837.54
2011-06-16,822.37
2011-06-17,809.16
2011-06-20,800.62
2011-06-21,792.0
2011-06-22,797.42
2011-06-23,790.7
2011-06-24,812.31
2011-06-27,832.62
2011-06-28,843.98
2011-06-29,844.85
2011-06-30,834.82
2011-07-01,847.54
2011-07-04,856.5
2011-07-05,877.52
2011-07-06,881.6
2011-07-07,893.6
2011-07-08,899.47
2011-07-11,894.07
2011-07-12,895.49
2011-07-13,890.3
2011-07-14,913.49
2011-07-15,935.54
2011-07-18,952.03
2011-07-19,940.42
2011-07-20,932.21
2011-07-21,930.26
2011-07-22,917.63
2011-07-25,920.85
2011-07-26,884.02
2011-07-27,890.03
2011-07-28,907.25
2011-07-29,919.53
2011-08-01,911.94
2011-08-02,923.09
2011-08-03,922.81
2011-08-04,944.83
2011-08-05,905.16
2011-08-08,908.08
2011-08-09,849.0
2011-08-10,891.22
2011-08-11,873.12
2011-08-12,920.29
2011-08-15,928.98
2011-08-16,942.95
2011-08-17,932.01
2011-08-18,934.58
2011-08-19,895.65
2011-08-22,913.61
2011-08-23,912.35
2011-08-24,940.42
2011-08-25,942.64
2011-08-26,940.53
2011-08-29,951.55
2011-08-30,957.29
2011-08-31,931.79
2011-09-01,921.97
2011-09-02,916.07
2011-09-05,902.37
2011-09-06,876.71
2011-09-07,877.87
2011-09-08,903.25
2011-09-09,889.47
2011-09-13,870.04
2011-09-14,864.08
2011-09-15,877.93
2011-09-16,878.56
2011-09-19,871.88
2011-09-20,850.97
2011-09-21,856.8
2011-09-22,876.25
2011-09-23,840.18
2011-09-26,842.0
2011-09-27,833.64
2011-09-28,834.03
2011-09-29,813.26
2011-09-30,792.76
2011-10-10,792.97
2011-10-11,806.7
2011-10-12,783.43
2011-10-13,816.53
2011-10-14,830.48
2011-10-17,832.86
2011-10-18,826.53
2011-10-19,807.21
2011-10-20,801.03
2011-10-21,777.03
2011-10-24,761.43
2011-10-25,770.84
2011-10-26,794.3
2011-10-27,810.72
2011-10-28,820.42
2011-10-31,834.3
2011-11-01,843.8
2011-11-02,837.07
2011-11-03,885.87
2011-11-04,881.62
2011-11-07,880.15
2011-11-08,878.45
2011-11-09,866.91
2011-11-10,881.69
2011-11-11,893.72
2011-11-14,899.11
2011-11-15,916.62
2011-11-16,921.3
2011-11-17,893.79
2011-11-18,892.63
2011-11-21,866.98
2011-11-22,856.2
2011-11-23,868.78
2011-11-24,856.67
2011-11-25,866.99
2011-11-28,864.38
2011-11-29,872.2
2011-11-30,878.68
2011-12-01,861.55
2011-12-02,849.18
2011-12-05,825.61
2011-12-06,788.44
2011-12-07,797.18
2011-12-08,799.49
2011-12-09,802.13
2011-12-12,798.81
2011-12-13,787.08
2011-12-14,766.18
2011-12-15,751.55
2011-12-16,745.52
2011-12-19,774.66
2011-12-20,791.82
2011-12-21,786.98
2011-12-22,754.48
2011-12-23,754.89
2011-12-26,760.67
2011-12-27,749.61
2011-12-28,721.84
2011-12-29,714.58
2011-12-30,718.03
2012-01-04,734.74
2012-01-05,700.32
2012-01-06,662.65
2012-01-09,667.86
2012-01-10,691.65
2012-01-11,715.04
2012-01-12,715.82
2012-01-13,709.05
2012-01-16,657.8
2012-01-17,630.78
2012-01-18,662.94
2012-01-19,621.65
2012-01-20,634.83
2012-01-30,649.42
2012-01-31,649.37
2012-02-01,647.49
2012-02-02,652.06
2012-02-03,665.35
2012-02-06,681.04
2012-02-07,683.88
2012-02-08,673.07
2012-02-09,692.36
2012-02-10,696.53
2012-02-13,694.24
2012-02-14,714.75
2012-02-15,711.62
2012-02-16,723.43
2012-02-17,722.62
2012-02-20,726.88
2012-02-21,719.29
2012-02-22,737.78
2012-02-23,760.67
2012-02-24,756.16
2012-02-27,763.96
2012-02-28,757.45
2012-02-29,747.22
2012-03-01,734.25
2012-03-02,743.85
2012-03-05,759.65
2012-03-06,758.08
2012-03-07,743.05
2012-03-08,751.98
2012-03-09,764.48
2012-03-12,779.51
2012-03-13,785.53
