,创业板
2010-06-01,1583073.0
2010-06-02,1202131.0
2010-06-03,1729802.0
2010-06-04,1571654.0
2010-06-07,2769355.0
2010-06-08,2062969.0
2010-06-09,2541568.0
2010-06-10,2197404.0
2010-06-11,2224874.0
2010-06-17,1764283.0
2010-06-18,1630650.0
2010-06-21,1574797.0
2010-06-22,1427162.0
2010-06-23,1257359.0
2010-06-24,1069132.0
2010-06-25,1781242.0
2010-06-28,1180048.0
2010-06-29,1742055.0
2010-06-30,1408707.0
2010-07-01,1199397.0
2010-07-02,1436579.0
2010-07-05,1015804.0
2010-07-06,1268273.0
2010-07-07,1154522.0
2010-07-08,1823587.0
2010-07-09,1844847.0
2010-07-12,1473329.0
2010-07-13,1683635.0
2010-07-14,1621514.0
2010-07-15,1381135.0
2010-07-16,1123317.0
2010-07-19,1018964.0
2010-07-20,1477184.0
2010-07-21,1782674.0
2010-07-22,1326602.0
2010-07-23,1721251.0
2010-07-26,1476035.0
2010-07-27,1361821.0
2010-07-28,2057862.0
2010-07-29,2113521.0
2010-07-30,1691712.0
2010-08-02,1962783.0
2010-08-03,1885147.0
2010-08-04,1624911.0
2010-08-05,1915500.0
2010-08-06,2360264.0
2010-08-09,2428507.0
2010-08-10,2411715.0
2010-08-11,1759141.0
2010-08-12,2286132.0
2010-08-13,1782848.0
2010-08-16,2091177.0
2010-08-17,1963471.0
2010-08-18,1811909.0
2010-08-19,1750952.0
2010-08-20,2404560.0
2010-08-23,1773928.0
2010-08-24,1608155.0
2010-08-25,2166638.0
2010-08-26,1700767.0
2010-08-27,2173480.0
2010-08-30,2358186.0
2010-08-31,2175334.0
2010-09-01,2400153.0
2010-09-02,2758003.0
2010-09-03,3186012.0
2010-09-06,2546962.0
2010-09-07,1686002.0
2010-09-08,1801644.0
2010-09-09,2365284.0
2010-09-10,2210901.0
2010-09-13,2010292.0
2010-09-14,1940841.0
2010-09-15,2216464.0
2010-09-16,1717924.0
2010-09-17,1450030.0
2010-09-20,1292681.0
2010-09-21,1107187.0
2010-09-27,1079437.0
2010-09-28,1666173.0
2010-09-29,1230242.0
2010-09-30,1099209.0
2010-10-08,1511188.0
2010-10-11,1852470.0
2010-10-12,1510895.0
2010-10-13,2209485.0
2010-10-14,1994136.0
2010-10-15,1884787.0
2010-10-18,1787335.0
2010-10-19,3333809.0
2010-10-20,3438174.0
2010-10-21,2161944.0
2010-10-22,2377733.0
2010-10-25,2729464.0
2010-10-26,2967923.0
2010-10-27,2443831.0
2010-10-28,2269392.0
2010-10-29,3097404.0
2010-11-01,3754825.0
2010-11-02,3292637.0
2010-11-03,2224595.0
2010-11-04,1759113.0
2010-11-05,2237335.0
2010-11-08,2579173.0
2010-11-09,2622116.0
2010-11-10,2974084.0
2010-11-11,3180996.0
2010-11-12,3612339.0
2010-11-15,2981080.0
2010-11-16,3964587.0
2010-11-17,2829795.0
2010-11-18,2238790.0
2010-11-19,3233615.0
2010-11-22,4025388.0
2010-11-23,2898766.0
2010-11-24,2869098.0
2010-11-25,2832584.0
2010-11-26,2350441.0
2010-11-29,2685259.0
2010-11-30,3163257.0
2010-12-01,1612221.0
2010-12-02,1767132.0
2010-12-03,1702613.0
2010-12-06,1562358.0
2010-12-07,1280460.0
2010-12-08,1345852.0
2010-12-09,1806955.0
2010-12-10,1569302.0
2010-12-13,2301380.0
2010-12-14,2047676.0
2010-12-15,2319263.0
2010-12-16,2127810.0
2010-12-17,2059515.0
2010-12-20,2702385.0
2010-12-21,1885949.0
2010-12-22,2109499.0
2010-12-23,1877144.0
2010-12-24,1630336.0
2010-12-27,1567896.0
2010-12-28,1439567.0
2010-12-29,1615975.0
2010-12-30,1409447.0
2010-12-31,1391123.0
2011-01-04,1695881.0
2011-01-05,1683527.0
2011-01-06,1559129.0
2011-01-07,1974030.0
2011-01-10,1591818.0
2011-01-11,1376431.0
2011-01-12,1234470.0
2011-01-13,1776971.0
2011-01-14,1534370.0
2011-01-17,1701014.0
2011-01-18,1018064.0
2011-01-19,1178339.0
2011-01-20,1442281.0
2011-01-21,1254321.0
2011-01-24,1315743.0
2011-01-25,1421063.0
2011-01-26,1161020.0
2011-01-27,1186127.0
2011-01-28,998536.0
2011-01-31,1211559.0
2011-02-01,1447715.0
2011-02-09,1287175.0
2011-02-10,1833971.0
2011-02-11,1858216.0
2011-02-14,2085430.0
2011-02-15,2692483.0
2011-02-16,2430058.0
2011-02-17,2407534.0
2011-02-18,2314419.0
2011-02-21,2338857.0
2011-02-22,3202336.0
2011-02-23,2313215.0
2011-02-24,2238639.0
2011-02-25,1966280.0
2011-02-28,1903786.0
2011-03-01,2101515.0
2011-03-02,1797659.0
2011-03-03,1799709.0
2011-03-04,1471274.0
2011-03-07,1770028.0
2011-03-08,2526986.0
2011-03-09,2453239.0
2011-03-10,2564247.0
2011-03-11,2755355.0
2011-03-14,2543075.0
2011-03-15,2786249.0
2011-03-16,2621254.0
2011-03-17,2579187.0
2011-03-18,1714087.0
2011-03-21,1675007.0
2011-03-22,1846559.0
2011-03-23,1762140.0
2011-03-24,1872127.0
2011-03-25,1977720.0
2011-03-28,2287752.0
2011-03-29,2763171.0
2011-03-30,1944158.0
2011-03-31,1590416.0
2011-04-01,1294019.0
2011-04-06,1541654.0
2011-04-07,1773952.0
2011-04-08,1569267.0
2011-04-11,1710574.0
2011-04-12,1354872.0
2011-04-13,1508995.0
2011-04-14,1412610.0
2011-04-15,1777145.0
2011-04-18,1524246.0
2011-04-19,1759370.0
2011-04-20,1687702.0
2011-04-21,2388192.0
2011-04-22,1893595.0
2011-04-25,1990286.0
2011-04-26,1969918.0
2011-04-27,1827124.0
2011-04-28,1934849.0
2011-04-29,1317671.0
2011-05-03,1226499.0
2011-05-04,1270601.0
2011-05-05,1473808.0
2011-05-06,1334006.0
2011-05-09,1557071.0
2011-05-10,1267213.0
2011-05-11,1596040.0
2011-05-12,1646752.0
2011-05-13,1544289.0
2011-05-16,1332883.0
2011-05-17,1624413.0
2011-05-18,1744464.0
2011-05-19,1448972.0
2011-05-20,1416626.0
2011-05-23,2047422.0
2011-05-24,2782844.0
2011-05-25,2176375.0
2011-05-26,1741445.0
2011-05-27,1849514.0
2011-05-30,2335782.0
2011-05-31,2499466.0
2011-06-01,2358778.0
2011-06-02,2095702.0
2011-06-03,1958064.0
2011-06-07,1598940.0
2011-06-08,2043436.0
2011-06-09,2017611.0
2011-06-10,1785816.0
2011-06-13,1614046.0
2011-06-14,1703028.0
2011-06-15,2073052.0
2011-06-16,1731523.0
2011-06-17,1428628.0
2011-06-20,1477888.0
2011-06-21,1508401.0
2011-06-22,1847725.0
2011-06-23,3043269.0
2011-06-24,3506956.0
2011-06-27,3397416.0
2011-06-28,2329661.0
2011-06-29,2870804.0
2011-06-30,2412281.0
2011-07-01,3052681.0
2011-07-04,3605971.0
2011-07-05,3429034.0
2011-07-06,4005587.0
2011-07-07,4980368.0
2011-07-08,3350704.0
2011-07-11,3138543.0
2011-07-12,4134161.0
2011-07-13,3773358.0
2011-07-14,5124319.0
2011-07-15,6429022.0
2011-07-18,4886468.0
2011-07-19,4242889.0
2011-07-20,3652248.0
2011-07-21,3321787.0
2011-07-22,3272156.0
2011-07-25,4313444.0
2011-07-26,2911907.0
2011-07-27,3884076.0
2011-07-28,3749075.0
2011-07-29,3734791.0
2011-08-01,3717874.0
2011-08-02,4822299.0
2011-08-03,6078198.0
2011-08-04,4490789.0
2011-08-05,4278637.0
2011-08-08,4853829.0
2011-08-09,4248659.0
2011-08-10,4152964.0
2011-08-11,4790986.0
2011-08-12,4554967.0
2011-08-15,4478420.0
2011-08-16,4114517.0
2011-08-17,4004712.0
2011-08-18,3953249.0
2011-08-19,4432501.0
2011-08-22,4341367.0
2011-08-23,5674449.0
2011-08-24,6468434.0
2011-08-25,5311157.0
2011-08-26,5508088.0
2011-08-29,5130036.0
2011-08-30,4772780.0
2011-08-31,3969353.0
2011-09-01,3455754.0
2011-09-02,3296039.0
2011-09-05,3247565.0
2011-09-06,3094362.0
2011-09-07,3146188.0
2011-09-08,3276209.0
2011-09-09,2616606.0
2011-09-13,2287849.0
2011-09-14,2420365.0
2011-09-15,2623923.0
2011-09-16,2803521.0
2011-09-19,2374811.0
2011-09-20,2097516.0
2011-09-21,3279914.0
2011-09-22,3121393.0
2011-09-23,2640321.0
2011-09-26,2248383.0
2011-09-27,2753487.0
2011-09-28,2458248.0
2011-09-29,2625983.0
2011-09-30,1950389.0
2011-10-10,1621991.0
2011-10-11,2572308.0
2011-10-12,3644532.0
2011-10-13,4197492.0
2011-10-14,3330833.0
2011-10-17,3697721.0
2011-10-18,3930548.0
2011-10-19,3006662.0
2011-10-20,3368182.0
2011-10-21,2590864.0
2011-10-24,3335606.0
2011-10-25,4508874.0
2011-10-26,6050439.0
2011-10-27,5078367.0
2011-10-28,5755198.0
2011-10-31,6252855.0
2011-11-01,6301051.0
2011-11-02,8516045.0
2011-11-03,9918096.0
2011-11-04,6660408.0
2011-11-07,5225319.0
2011-11-08,5445643.0
2011-11-09,6883980.0
2011-11-10,10350637.0
2011-11-11,7667414.0
2011-11-14,8111971.0
2011-11-15,7390361.0
2011-11-16,7071703.0
2011-11-17,6529090.0
2011-11-18,6104312.0
2011-11-21,4658928.0
2011-11-22,4089330.0
2011-11-23,4401077.0
2011-11-24,4339727.0
2011-11-25,4199906.0
2011-11-28,3976936.0
2011-11-29,4643474.0
2011-11-30,5836484.0
2011-12-01,5721672.0
2011-12-02,4038192.0
2011-12-05,3444620.0
2011-12-06,3163314.0
2011-12-07,3027376.0
2011-12-08,4313035.0
2011-12-09,3100104.0
2011-12-12,2535366.0
2011-12-13,3434003.0
2011-12-14,3208381.0
2011-12-15,3484289.0
2011-12-16,4329477.0
2011-12-19,5077001.0
2011-12-20,4050591.0
2011-12-21,3864116.0
2011-12-22,4661591.0
2011-12-23,3634598.0
2011-12-26,2920371.0
2011-12-27,3309758.0
2011-12-28,3184213.0
2011-12-29,2826756.0
2011-12-30,3107814.0
2012-01-04,3199979.0
2012-01-05,4016076.0
2012-01-06,3237513.0
2012-01-09,4139809.0
2012-01-10,5745642.0
2012-01-11,4991163.0
2012-01-12,3943702.0
2012-01-13,4993608.0
2012-01-16,3313455.0
2012-01-17,4536489.0
2012-01-18,4788498.0
2012-01-19,4378062.0
2012-01-20,3794610.0
2012-01-30,3696327.0
2012-01-31,3122930.0
2012-02-01,3643957.0
2012-02-02,3948430.0
2012-02-03,5084726.0
2012-02-06,4913461.0
2012-02-07,4022295.0
2012-02-08,4690440.0
2012-02-09,5973568.0
2012-02-10,4682200.0
2012-02-13,5579600.0
2012-02-14,4136396.0
2012-02-15,5543245.0
2012-02-16,6034967.0
2012-02-17,4661936.0
2012-02-20,5648109.0
2012-02-21,6682663.0
2012-02-22,8969181.0
2012-02-23,8406383.0
2012-02-24,7390735.0
2012-02-27,8006043.0
2012-02-28,7978856.0
2012-02-29,5904584.0
2012-03-01,5005155.0
2012-03-02,5487446.0
2012-03-05,6271369.0
2012-03-06,6023767.0
2012-03-07,5943515.0
2012-03-08,5558078.0
2012-03-09,6901048.0
2012-03-12,6946632.0
2012-03-13,7151396.0
2012-03-14,10995380.0
2012-03-15,7483183.0
2012-03-16,6549302.0
2012-03-19,6515828.0
2012-03-20,6107046.0
2012-03-21,6039931.0
2012-03-22,4550955.0
2012-03-23,4480951.0
2012-03-26,3642017.0
2012-03-27,4024034.0
2012-03-28,5442515.0
2012-03-29,4575497.0
2012-03-30,4235670.0
2012-04-05,4398591.0
2012-04-06,4392632.0
2012-04-09,3567381.0
2012-04-10,4428713.0
2012-04-11,3932710.0
2012-04-12,4848404.0
2012-04-13,5012434.0
2012-04-16,3810806.0
2012-04-17,3916592.0
2012-04-18,4872801.0
2012-04-19,4816491.0
2012-04-20,4664623.0
2012-04-23,7329877.0
2012-04-24,5847302.0
2012-04-25,4409875.0
2012-04-26,3854188.0
2012-04-27,4055113.0
2012-05-02,4355691.0
2012-05-03,4122606.0
2012-05-04,5389720.0
2012-05-07,6120061.0
2012-05-08,6619395.0
2012-05-09,5805832.0
2012-05-10,5157954.0
2012-05-11,6002106.0
2012-05-14,6024591.0
2012-05-15,5181662.0
2012-05-16,4539304.0
2012-05-17,4652232.0
2012-05-18,5671257.0
2012-05-21,4603324.0
2012-05-22,4144233.0
2012-05-23,5134553.0
2012-05-24,5074632.0
2012-05-25,4753242.0
2012-05-28,4642532.0
2012-05-29,5517465.0
2012-05-30,6051260.0
2012-05-31,6704539.0
2012-06-01,6364929.0
2012-06-04,6180151.0
2012-06-05,4196363.0
2012-06-06,3899402.0
2012-06-07,4404545.0
2012-06-08,5113299.0
2012-06-11,6469825.0
2012-06-12,6473938.0
2012-06-13,7171411.0
2012-06-14,7100317.0
2012-06-15,6901456.0
2012-06-18,7963397.0
2012-06-19,8450025.0
2012-06-20,8516857.0
2012-06-21,7793460.0
2012-06-25,6650404.0
2012-06-26,6050190.0
2012-06-27,6893909.0
2012-06-28,7400715.0
2012-06-29,7104600.0
2012-07-02,7743385.0
2012-07-03,9347557.0
2012-07-04,7965050.0
2012-07-05,7451569.0
2012-07-06,8229852.0
2012-07-09,7618162.0
2012-07-10,7035974.0
2012-07-11,5668274.0
2012-07-12,7327214.0
2012-07-13,7484220.0
2012-07-16,8277827.0
2012-07-17,5490463.0
2012-07-18,6205299.0
2012-07-19,7086094.0
2012-07-20,5726629.0
2012-07-23,5174113.0
2012-07-24,5225362.0
2012-07-25,6079427.0
2012-07-26,5454038.0
2012-07-27,5414012.0
2012-07-30,5253858.0
2012-07-31,4853301.0
2012-08-01,4694356.0
2012-08-02,4952914.0
2012-08-03,6116857.0
2012-08-06,7449598.0
2012-08-07,7168251.0
2012-08-08,5817704.0
2012-08-09,7047415.0
2012-08-10,6130295.0
2012-08-13,6153185.0
2012-08-14,6321177.0
2012-08-15,5061584.0
2012-08-16,4190765.0
2012-08-17,4587319.0
2012-08-20,5226300.0
2012-08-21,8531240.0
2012-08-22,8927210.0
2012-08-23,8967547.0
2012-08-24,7938355.0
2012-08-27,6616475.0
2012-08-28,6369417.0
2012-08-29,7768386.0
2012-08-30,9026271.0
2012-08-31,5713335.0
2012-09-03,6550695.0
2012-09-04,7726658.0
2012-09-05,7974380.0
2012-09-06,8159590.0
2012-09-07,13543457.0
2012-09-10,11740557.0
2012-09-11,10596146.0
2012-09-12,9339447.0
2012-09-13,9173258.0
2012-09-14,8116033.0
2012-09-17,6607894.0
2012-09-18,5238138.0
2012-09-19,5185624.0
2012-09-20,7233442.0
2012-09-21,5853244.0
2012-09-24,4778873.0
2012-09-25,4456482.0
2012-09-26,4785551.0
2012-09-27,5945532.0
2012-09-28,5422737.0
2012-10-08,4349179.0
2012-10-09,7160979.0
2012-10-10,7759452.0
2012-10-11,7193188.0
2012-10-12,5987717.0
2012-10-15,6047798.0
2012-10-16,5172678.0
2012-10-17,4990477.0
2012-10-18,6401506.0
2012-10-19,5538692.0
2012-10-22,4823413.0
2012-10-23,5466438.0
2012-10-24,4503437.0
2012-10-25,5334304.0
2012-10-26,5193825.0
2012-10-29,3560575.0
2012-10-30,3599959.0
2012-10-31,3571402.0
2012-11-01,5259020.0
2012-11-02,4204743.0
2012-11-05,4639898.0
2012-11-06,5455889.0
2012-11-07,4386247.0
2012-11-08,4815109.0
2012-11-09,4163753.0
2012-11-12,4382155.0
2012-11-13,4886383.0
2012-11-14,4510091.0
2012-11-15,4555696.0
2012-11-16,4490723.0
2012-11-19,4604529.0
2012-11-20,5259807.0
2012-11-21,5876733.0
2012-11-22,4934022.0
2012-11-23,5051590.0
2012-11-26,4251120.0
2012-11-27,5938245.0
2012-11-28,4225699.0
2012-11-29,4185996.0
2012-11-30,3821376.0
2012-12-03,4334761.0
2012-12-04,4819209.0
2012-12-05,7126108.0
2012-12-06,5574226.0
2012-12-07,7409448.0
2012-12-10,9109238.0
2012-12-11,7556457.0
2012-12-12,7066769.0
2012-12-13,6302316.0
2012-12-14,10223857.0
2012-12-17,8774594.0
2012-12-18,8205784.0
2012-12-19,7097528.0
2012-12-20,9026823.0
2012-12-21,10835753.0
2012-12-24,9262876.0
2012-12-25,12040809.0
2012-12-26,12975128.0
2012-12-27,12521587.0
2012-12-28,9936140.0
2012-12-31,9208257.0
2013-01-04,10144828.0
2013-01-07,10828472.0
2013-01-08,13556817.0
2013-01-09,13175455.0
2013-01-10,11541677.0
2013-01-11,13876465.0
2013-01-14,14605320.0
2013-01-15,17366908.0
2013-01-16,13673648.0
2013-01-17,10598854.0
2013-01-18,10860702.0
2013-01-21,10446622.0
2013-01-22,11331764.0
2013-01-23,9171227.0
2013-01-24,11159146.0
2013-01-25,7258003.0
2013-01-28,8328960.0
2013-01-29,9819117.0
2013-01-30,9572741.0
2013-01-31,9124011.0
2013-02-01,8442919.0
2013-02-04,9158984.0
2013-02-05,7394332.0
