,沪深300
2005-01-04,443197.59
2005-01-05,452920.69
2005-01-06,392101.5
2005-01-07,473746.78
2005-01-10,376293.09
2005-01-11,370407.59
2005-01-12,309329.78
2005-01-13,384217.19
2005-01-14,416292.0
2005-01-17,424980.72
2005-01-18,411794.41
2005-01-19,342795.13
2005-01-20,439934.94
2005-01-21,815208.63
2005-01-24,836016.0
2005-01-25,615702.25
2005-01-26,471943.88
2005-01-27,409439.69
2005-01-28,328095.0
2005-01-31,386357.19
2005-02-01,427570.63
2005-02-02,1020290.25
2005-02-03,1005731.0
2005-02-04,954987.13
2005-02-16,743816.81
2005-02-17,551306.19
2005-02-18,481773.22
2005-02-21,605239.5
2005-02-22,1092277.5
2005-02-23,1123193.88
2005-02-24,899375.19
2005-02-25,1148995.88
2005-02-28,819010.0
2005-03-01,628879.0
2005-03-02,897130.81
2005-03-03,558281.19
2005-03-04,538386.56
2005-03-07,531647.19
2005-03-08,985127.44
2005-03-09,987762.19
2005-03-10,838054.69
2005-03-11,765455.69
2005-03-14,1022942.94
2005-03-15,809120.94
2005-03-16,715374.38
2005-03-17,653506.0
2005-03-18,631499.13
2005-03-21,459452.0
2005-03-22,695530.69
2005-03-23,709205.5
2005-03-24,644664.19
2005-03-25,425812.72
2005-03-28,414165.59
2005-03-29,484214.88
2005-03-30,545937.81
2005-03-31,455532.09
2005-04-01,1010940.31
2005-04-04,729650.0
2005-04-05,606951.44
2005-04-06,972765.38
2005-04-07,1326056.0
2005-04-08,915135.0
2005-04-11,1043623.25
2005-04-12,647956.31
2005-04-13,1002960.19
2005-04-14,781342.44
2005-04-15,654167.56
2005-04-18,532913.88
2005-04-19,576890.75
2005-04-20,530000.38
2005-04-21,614064.56
2005-04-22,637355.06
2005-04-25,666730.31
2005-04-26,702937.31
2005-04-27,643284.56
2005-04-28,831581.38
2005-04-29,685319.25
2005-05-09,488969.63
2005-05-10,596091.06
2005-05-11,512833.34
2005-05-12,610732.69
2005-05-13,622841.94
2005-05-16,463008.88
2005-05-17,463519.84
2005-05-18,461540.91
2005-05-19,426347.25
2005-05-20,383547.63
2005-05-23,372579.09
2005-05-24,477797.16
2005-05-25,374217.31
2005-05-26,347005.09
2005-05-27,424067.88
2005-05-30,371211.63
2005-05-31,360100.66
2005-06-01,427407.5
2005-06-02,522078.63
2005-06-03,416475.44
2005-06-06,468500.63
2005-06-07,724857.75
2005-06-08,1741454.38
2005-06-09,1778238.63
2005-06-10,1200675.38
2005-06-13,794406.06
2005-06-14,769207.06
2005-06-15,627231.0
2005-06-16,611526.94
2005-06-17,828545.56
2005-06-20,1029089.0
2005-06-21,689093.69
2005-06-22,588240.13
2005-06-23,546502.88
2005-06-24,473218.63
2005-06-27,890349.38
2005-06-28,553609.81
2005-06-29,575199.81
2005-06-30,559794.63
2005-07-01,508672.66
2005-07-04,402609.94
2005-07-05,452967.44
2005-07-06,362726.56
2005-07-07,290182.66
2005-07-08,344778.69
2005-07-11,409265.34
2005-07-12,751924.5
2005-07-13,467402.44
2005-07-14,474255.72
2005-07-15,420393.97
2005-07-18,376775.47
2005-07-19,362292.47
2005-07-20,395344.0
2005-07-21,411849.69
2005-07-22,1021001.31
2005-07-25,576238.5
2005-07-26,1051358.13
2005-07-27,968810.88
2005-07-28,1032637.44
2005-07-29,640906.19
2005-08-01,545157.69
2005-08-02,644195.88
2005-08-03,1191177.75
2005-08-04,668269.0
2005-08-05,958568.56
2005-08-08,1113575.63
2005-08-09,970454.13
2005-08-10,1021486.38
2005-08-11,1404206.13
2005-08-12,1445755.25
2005-08-15,1050346.13
2005-08-16,1260608.0
2005-08-17,1091046.13
2005-08-18,1591642.38
2005-08-19,1088150.13
2005-08-22,774583.5
2005-08-23,750882.44
2005-08-24,773651.25
2005-08-25,760486.44
2005-08-26,718619.88
2005-08-29,713770.81
2005-08-30,585843.63
2005-08-31,703428.25
2005-09-01,1055867.75
2005-09-02,886477.31
2005-09-05,824222.63
2005-09-06,1058398.5
2005-09-07,995680.88
2005-09-08,1175326.0
2005-09-09,792419.38
2005-09-12,561013.06
2005-09-13,799903.13
2005-09-14,994262.81
2005-09-15,809816.06
2005-09-16,698932.75
2005-09-19,742748.19
2005-09-20,918943.88
2005-09-21,876045.94
2005-09-22,862559.0
2005-09-23,554988.19
2005-09-26,439842.56
2005-09-27,557609.75
2005-09-28,433147.59
2005-09-29,579823.81
2005-09-30,452946.69
2005-10-10,366562.44
2005-10-11,403253.94
2005-10-12,665323.13
2005-10-13,602181.44
2005-10-14,556804.94
2005-10-17,551648.19
2005-10-18,584999.81
2005-10-19,547409.94
2005-10-20,608254.56
2005-10-21,564509.56
2005-10-24,467477.56
2005-10-25,568710.5
2005-10-26,591180.06
2005-10-27,588184.81
2005-10-28,556526.63
2005-10-31,495480.16
2005-11-01,476251.44
2005-11-02,611538.69
2005-11-03,584319.19
2005-11-04,457023.59
2005-11-07,375829.44
2005-11-08,461726.09
2005-11-09,554478.0
2005-11-10,507160.38
2005-11-11,422147.91
2005-11-14,292431.78
2005-11-15,415874.0
2005-11-16,418538.25
2005-11-17,412049.5
2005-11-18,835393.44
2005-11-21,489725.44
2005-11-22,450060.09
2005-11-23,394407.03
2005-11-24,610243.0
2005-11-25,512794.69
2005-11-28,423910.16
2005-11-29,359735.72
2005-11-30,367684.53
2005-12-01,335570.31
2005-12-02,393721.41
2005-12-05,460654.78
2005-12-06,473713.47
2005-12-07,436877.94
2005-12-08,501881.28
2005-12-09,579308.69
2005-12-12,508226.06
2005-12-13,514821.84
2005-12-14,675724.31
2005-12-15,749812.38
2005-12-16,541846.56
2005-12-19,438056.16
2005-12-20,466576.19
2005-12-21,489286.5
2005-12-22,444138.44
2005-12-23,579904.69
2005-12-26,750178.25
2005-12-27,564064.0
2005-12-28,573125.63
2005-12-29,879804.0
2005-12-30,851798.0
2006-01-04,1144260.88
2006-01-05,1469349.38
2006-01-06,1617099.0
2006-01-09,1262640.0
2006-01-10,1234402.25
2006-01-11,1348834.75
2006-01-12,1102817.63
2006-01-13,1121563.38
2006-01-16,989615.19
2006-01-17,807611.88
2006-01-18,1038984.19
2006-01-19,1271486.25
2006-01-20,1292989.0
2006-01-23,1145929.38
2006-01-24,1391424.0
2006-01-25,1164419.75
2006-02-06,1346697.88
2006-02-07,1766925.75
2006-02-08,1369251.5
2006-02-09,1211506.75
2006-02-10,1141175.38
2006-02-13,1145469.5
2006-02-14,973055.88
2006-02-15,1274781.13
2006-02-16,1340718.38
2006-02-17,1077412.75
2006-02-20,1030330.06
2006-02-21,1318021.63
2006-02-22,1343505.88
2006-02-23,1025975.63
2006-02-24,1028638.13
2006-02-27,1252043.88
2006-02-28,1042783.0
2006-03-01,1051842.0
2006-03-02,1374869.25
2006-03-03,1143714.25
2006-03-06,909120.44
2006-03-07,967650.94
2006-03-08,881808.31
2006-03-09,664005.13
2006-03-10,633782.88
2006-03-13,610194.31
2006-03-14,586159.94
2006-03-15,782230.06
2006-03-16,793636.0
2006-03-17,794517.5
2006-03-20,824631.56
2006-03-21,1027158.0
2006-03-22,1003454.19
2006-03-23,1082505.0
2006-03-24,1103190.0
2006-03-27,920178.81
2006-03-28,1063050.75
2006-03-29,1588211.13
2006-03-30,1208993.13
2006-03-31,1204567.25
2006-04-03,1570315.63
2006-04-04,1752521.88
2006-04-05,1853958.75
2006-04-06,1968781.25
2006-04-07,1776010.5
2006-04-10,1724647.0
2006-04-11,1979670.75
2006-04-12,1599114.13
2006-04-13,1719008.5
2006-04-14,1678253.13
2006-04-17,1834916.25
2006-04-18,1740345.75
2006-04-19,1936496.0
2006-04-20,2156123.25
2006-04-21,2275069.75
2006-04-24,2624589.5
2006-04-25,2288523.25
2006-04-26,2547617.25
2006-04-27,1886252.0
2006-04-28,2434301.0
2006-05-08,2653631.5
2006-05-09,3311191.75
2006-05-10,3356825.75
2006-05-11,3729960.5
2006-05-12,3426184.5
2006-05-15,4576819.0
2006-05-16,5091639.5
2006-05-17,3913382.75
2006-05-18,3183285.25
2006-05-19,3622236.25
2006-05-22,3819887.5
2006-05-23,3274775.25
2006-05-24,3109681.5
2006-05-25,2048255.63
2006-05-26,2174199.25
2006-05-29,2710062.75
2006-05-30,2899243.0
2006-05-31,2935969.25
2006-06-01,3138349.25
2006-06-02,3740732.25
2006-06-05,2978474.25
2006-06-06,2649785.5
2006-06-07,3107629.0
2006-06-08,2646258.75
2006-06-09,2163104.25
2006-06-12,1502536.0
2006-06-13,1671617.0
2006-06-14,1598232.63
2006-06-15,1294789.38
2006-06-16,1615237.38
2006-06-19,1867264.63
2006-06-20,1641671.5
2006-06-21,1827159.25
2006-06-22,1464239.25
2006-06-23,1512553.63
2006-06-26,1856476.75
2006-06-27,1602219.75
2006-06-28,1483616.38
2006-06-29,2422565.25
2006-06-30,2294244.25
2006-07-03,2442313.0
2006-07-04,2811607.5
2006-07-05,2115412.75
2006-07-06,2163751.75
2006-07-07,2252957.0
2006-07-10,1861678.5
2006-07-11,1895895.25
2006-07-12,2483117.25
2006-07-13,3170008.75
2006-07-14,2106509.25
2006-07-17,1604682.38
2006-07-18,1479711.5
2006-07-19,1592362.13
2006-07-20,1150553.75
2006-07-21,1244243.25
2006-07-24,1251772.88
2006-07-25,1408973.88
2006-07-26,1205995.25
2006-07-27,1475169.63
2006-07-28,1380939.38
2006-07-31,1311540.13
2006-08-01,1013795.94
2006-08-02,1018084.06
2006-08-03,811599.19
2006-08-04,976233.38
2006-08-07,851570.25
2006-08-08,838743.13
2006-08-09,748512.06
2006-08-10,1002003.88
2006-08-11,903336.75
2006-08-14,987053.06
2006-08-15,859250.38
2006-08-16,1226702.0
2006-08-17,884386.63
2006-08-18,795134.13
2006-08-21,866163.13
2006-08-22,1122412.13
2006-08-23,1221559.13
2006-08-24,941660.56
2006-08-25,1158628.0
2006-08-28,1664098.63
2006-08-29,2055859.88
2006-08-30,1299458.25
2006-08-31,1393200.13
2006-09-01,1483225.25
2006-09-04,1247037.38
2006-09-05,1595967.0
2006-09-06,1379960.38
2006-09-07,1305500.0
2006-09-08,1015779.44
2006-09-11,1283928.63
2006-09-12,1578725.75
2006-09-13,1870175.0
2006-09-14,1367951.75
2006-09-15,1959462.88
2006-09-18,1818762.25
2006-09-19,1594286.13
2006-09-20,1401724.0
2006-09-21,1602613.13
2006-09-22,1817317.0
2006-09-25,1549380.38
2006-09-26,1195375.88
2006-09-27,1089780.5
2006-09-28,1407085.38
2006-09-29,1734763.88
2006-10-09,2376225.0
2006-10-10,2402474.75
2006-10-11,1859201.25
2006-10-12,2104827.0
2006-10-13,1677080.38
2006-10-16,1734129.0
2006-10-17,1515111.63
2006-10-18,1501540.5
2006-10-19,1444118.13
2006-10-20,1652664.88
2006-10-23,1771077.63
2006-10-24,1615123.25
2006-10-25,2117715.25
2006-10-26,2130029.25
2006-10-27,2149619.0
2006-10-30,1987445.5
2006-10-31,2146361.75
2006-11-01,2351843.0
2006-11-02,2475796.25
2006-11-03,2331928.25
2006-11-06,2522168.0
2006-11-07,2789455.0
2006-11-08,1914030.75
2006-11-09,2228303.75
2006-11-10,3193118.5
2006-11-13,2517622.25
2006-11-14,2202930.75
2006-11-15,2613556.75
2006-11-16,3412731.0
2006-11-17,2695044.5
2006-11-20,3299061.25
2006-11-21,3262858.0
2006-11-22,3806526.25
2006-11-23,3147440.5
2006-11-24,3239804.5
2006-11-27,3205782.0
2006-11-28,2950297.5
2006-11-29,3089501.25
2006-11-30,3986904.75
2006-12-01,4104522.25
2006-12-04,4694758.0
2006-12-05,4725577.5
2006-12-06,5338329.0
2006-12-07,5138801.0
2006-12-08,4198024.0
2006-12-11,3316936.0
2006-12-12,3870247.0
2006-12-13,3315439.25
2006-12-14,3332393.25
2006-12-15,3695741.0
2006-12-18,4653016.5
2006-12-19,4896982.0
2006-12-20,3974536.0
2006-12-21,4343777.5
2006-12-22,3487078.0
2006-12-25,4195157.5
2006-12-26,3910690.0
2006-12-27,3896168.75
2006-12-28,4522433.0
2006-12-29,5571639.0
2007-01-04,8238107.0
2007-01-05,6802606.0
2007-01-08,6630393.5
2007-01-09,6545619.5
2007-01-10,6882262.0
2007-01-11,6873001.0
2007-01-12,6174283.0
2007-01-15,5704345.0
2007-01-16,6784343.0
2007-01-17,8000890.5
2007-01-18,6989497.0
2007-01-19,7353887.0
2007-01-22,8187049.0
2007-01-23,9281287.0
2007-01-24,8027749.5
2007-01-25,7724172.0
2007-01-26,7327568.0
2007-01-29,7954486.0
2007-01-30,7348501.0
2007-01-31,7194503.5
2007-02-01,5757810.5
2007-02-02,5353511.5
2007-02-05,4235801.0
2007-02-06,6120650.5
2007-02-07,6620334.5
2007-02-08,5836750.5
2007-02-09,5130293.0
2007-02-12,5170943.5
2007-02-13,4822786.5
2007-02-14,5846227.0
2007-02-15,6741568.5
2007-02-16,7159758.0
2007-02-26,7098161.5
2007-02-27,10110276.0
2007-02-28,7714825.0
2007-03-01,7429958.0
2007-03-02,5422210.0
2007-03-05,6307175.5
2007-03-06,5026131.5
2007-03-07,5762324.0
2007-03-08,5390762.0
2007-03-09,6793304.5
2007-03-12,6043819.5
