,沪深300
2005-01-04,994.76
2005-01-05,997.32
2005-01-06,993.78
2005-01-07,995.71
2005-01-10,993.95
2005-01-11,999.55
2005-01-12,996.97
2005-01-13,999.47
2005-01-14,1006.46
2005-01-17,981.52
2005-01-18,974.87
2005-01-19,974.33
2005-01-20,963.21
2005-01-21,984.27
2005-01-24,1001.85
2005-01-25,997.95
2005-01-26,999.47
2005-01-27,987.7
2005-01-28,975.62
2005-01-31,965.78
2005-02-01,965.47
2005-02-02,1006.93
2005-02-03,1014.18
2005-02-04,1021.02
2005-02-16,1033.24
2005-02-17,1024.43
2005-02-18,1021.19
2005-02-21,1025.65
2005-02-22,1048.67
2005-02-23,1049.6
2005-02-24,1045.95
2005-02-25,1059.48
2005-02-28,1048.27
2005-03-01,1042.73
2005-03-02,1045.76
2005-03-03,1028.4
2005-03-04,1031.84
2005-03-07,1031.34
2005-03-08,1049.28
2005-03-09,1054.64
2005-03-10,1046.68
2005-03-11,1028.11
2005-03-14,1041.56
2005-03-15,1030.93
2005-03-16,1012.19
2005-03-17,1004.82
2005-03-18,996.39
2005-03-21,983.17
2005-03-22,982.13
2005-03-23,975.36
2005-03-24,965.06
2005-03-25,966.97
2005-03-28,961.65
2005-03-29,968.11
2005-03-30,952.71
2005-03-31,942.36
2005-04-01,989.9
2005-04-04,974.06
2005-04-05,967.74
2005-04-06,977.85
2005-04-07,1000.26
2005-04-08,1003.7
2005-04-11,1008.73
2005-04-12,993.71
2005-04-13,1006.5
2005-04-14,1006.42
2005-04-15,982.61
2005-04-18,970.91
2005-04-19,968.87
2005-04-20,964.15
2005-04-21,955.55
2005-04-22,947.91
2005-04-25,935.99
2005-04-26,939.7
2005-04-27,938.91
2005-04-28,945.5
2005-04-29,942.45
2005-05-09,937.39
2005-05-10,913.39
2005-05-11,917.22
2005-05-12,900.06
2005-05-13,898.51
2005-05-16,885.39
2005-05-17,888.28
2005-05-18,890.4
2005-05-19,888.02
2005-05-20,891.02
2005-05-23,880.28
2005-05-24,871.77
2005-05-25,876.3
2005-05-26,872.84
2005-05-27,864.96
2005-05-30,858.46
2005-05-31,863.2
2005-06-01,857.66
2005-06-02,835.49
2005-06-03,823.86
2005-06-06,839.15
