,沪深300
2005-01-04,980.65
2005-01-05,979.87
2005-01-06,980.33
2005-01-07,979.81
2005-01-10,979.78
2005-01-11,991.09
2005-01-12,989.25
2005-01-13,992.69
2005-01-14,987.23
2005-01-17,965.07
2005-01-18,960.29
2005-01-19,965.25
2005-01-20,952.23
2005-01-21,943.43
2005-01-24,986.23
2005-01-25,985.23
2005-01-26,988.47
2005-01-27,973.77
2005-01-28,965.2
2005-01-31,953.14
2005-02-01,952.74
2005-02-02,956.7
2005-02-03,992.15
2005-02-04,989.93
2005-02-16,1018.48
2005-02-17,1010.47
2005-02-18,1005.63
2005-02-21,1006.69
2005-02-22,1024.52
2005-02-23,1036.62
2005-02-24,1034.73
2005-02-25,1045.98
2005-02-28,1035.03
2005-03-01,1031.16
2005-03-02,1021.0
2005-03-03,1014.75
2005-03-04,1022.17
2005-03-07,1024.48
2005-03-08,1032.85
2005-03-09,1041.98
2005-03-10,1019.63
2005-03-11,1016.93
2005-03-14,1014.92
2005-03-15,1011.64
2005-03-16,995.96
2005-03-17,992.12
2005-03-18,975.7
2005-03-21,973.0
2005-03-22,959.56
2005-03-23,955.99
2005-03-24,948.53
2005-03-25,959.05
2005-03-28,948.8
2005-03-29,954.74
2005-03-30,936.37
2005-03-31,928.33
2005-04-01,937.55
2005-04-04,956.12
2005-04-05,953.58
2005-04-06,948.94
2005-04-07,974.3
2005-04-08,979.53
2005-04-11,992.77
2005-04-12,978.2
2005-04-13,987.95
2005-04-14,985.58
2005-04-15,971.93
2005-04-18,958.65
2005-04-19,957.91
2005-04-20,946.2
2005-04-21,938.59
2005-04-22,934.96
2005-04-25,920.16
2005-04-26,924.66
2005-04-27,925.9
2005-04-28,914.83
2005-04-29,929.81
2005-05-09,909.17
2005-05-10,892.31
2005-05-11,900.44
2005-05-12,883.51
2005-05-13,875.58
2005-05-16,869.33
2005-05-17,868.21
2005-05-18,871.82
2005-05-19,871.29
2005-05-20,879.18
2005-05-23,862.1
2005-05-24,855.59
2005-05-25,861.66
2005-05-26,854.96
2005-05-27,848.4
2005-05-30,842.1
2005-05-31,853.29
2005-06-01,836.04
2005-06-02,812.99
2005-06-03,807.97
2005-06-06,807.78
2005-06-07,835.18
2005-06-08,844.47
2005-06-09,895.04
2005-06-10,889.1
2005-06-13,877.69
2005-06-14,882.86
2005-06-15,865.14
2005-06-16,861.83
2005-06-17,876.04
2005-06-20,872.56
2005-06-21,894.39
2005-06-22,891.93
2005-06-23,892.83
2005-06-24,888.4
2005-06-27,904.21
2005-06-28,901.21
2005-06-29,898.08
2005-06-30,876.88
2005-07-01,858.37
2005-07-04,842.81
2005-07-05,845.36
2005-07-06,838.61
2005-07-07,839.28
2005-07-08,827.23
2005-07-11,822.52
2005-07-12,818.86
2005-07-13,841.86
2005-07-14,843.18
2005-07-15,837.78
2005-07-18,829.68
2005-07-19,829.28
2005-07-20,832.14
2005-07-21,835.76
2005-07-22,842.99
2005-07-25,854.28
2005-07-26,856.19
2005-07-27,876.04
2005-07-28,888.5
2005-07-29,883.38
2005-08-01,885.85
2005-08-02,888.4
2005-08-03,903.76
2005-08-04,901.63
2005-08-05,903.94
2005-08-08,923.57
2005-08-09,919.11
2005-08-10,926.28
2005-08-11,939.39
2005-08-12,933.98
2005-08-15,936.11
2005-08-16,939.92
2005-08-17,930.33
2005-08-18,919.12
2005-08-19,910.08
2005-08-22,919.22
2005-08-23,915.03
2005-08-24,923.56
2005-08-25,920.61
2005-08-26,921.84
2005-08-29,913.77
2005-08-30,912.84
2005-08-31,911.51
2005-09-01,926.06
2005-09-02,941.31
2005-09-05,944.63
2005-09-06,934.97
2005-09-07,932.65
2005-09-08,947.71
2005-09-09,946.02
2005-09-12,945.4
2005-09-13,948.13
2005-09-14,961.64
2005-09-15,965.66
2005-09-16,964.28
2005-09-19,964.26
2005-09-20,957.12
2005-09-21,943.82
2005-09-22,914.23
2005-09-23,914.81
2005-09-26,913.61
2005-09-27,903.39
2005-09-28,901.38
2005-09-29,904.28
2005-09-30,913.45
2005-10-10,906.88
2005-10-11,904.04
2005-10-12,917.38
2005-10-13,916.28
2005-10-14,902.81
2005-10-17,892.36
2005-10-18,895.62
2005-10-19,897.04
2005-10-20,889.57
2005-10-21,897.99
2005-10-24,900.23
2005-10-25,893.61
2005-10-26,873.9
2005-10-27,869.72
2005-10-28,859.69
2005-10-31,866.15
2005-11-01,862.69
2005-11-02,873.39
2005-11-03,872.11
2005-11-04,869.68
2005-11-07,870.08
2005-11-08,870.96
2005-11-09,878.68
2005-11-10,862.09
2005-11-11,857.79
2005-11-14,858.34
2005-11-15,853.86
2005-11-16,847.49
2005-11-17,859.0
2005-11-18,862.4
2005-11-21,880.3
2005-11-22,869.53
2005-11-23,866.19
2005-11-24,874.88
2005-11-25,877.26
2005-11-28,877.64
2005-11-29,870.56
2005-11-30,866.98
2005-12-01,870.7
2005-12-02,866.37
2005-12-05,858.86
2005-12-06,855.72
2005-12-07,865.02
2005-12-08,870.12
2005-12-09,871.26
2005-12-12,884.26
2005-12-13,880.74
2005-12-14,884.37
2005-12-15,895.17
2005-12-16,894.1
2005-12-19,898.79
2005-12-20,899.66
2005-12-21,902.11
2005-12-22,900.66
2005-12-23,908.51
2005-12-26,916.41
2005-12-27,916.01
2005-12-28,915.12
2005-12-29,921.14
2005-12-30,921.83
