,沪深300
2005-01-04,994.76
2005-01-05,981.57
2005-01-06,993.33
2005-01-07,983.04
2005-01-10,983.76
2005-01-11,994.18
2005-01-12,996.65
2005-01-13,996.07
2005-01-14,996.61
2005-01-17,979.11
2005-01-18,967.37
2005-01-19,974.33
2005-01-20,963.21
2005-01-21,954.46
2005-01-24,1001.85
2005-01-25,995.63
2005-01-26,995.78
2005-01-27,987.34
2005-01-28,974.63
2005-01-31,965.78
2005-02-01,953.33
2005-02-02,956.7
2005-02-03,1005.56
2005-02-04,992.25
2005-02-16,1023.32
2005-02-17,1024.43
2005-02-18,1020.12
2005-02-21,1006.69
2005-02-22,1026.83
2005-02-23,1046.81
2005-02-24,1042.25
2005-02-25,1046.27
2005-02-28,1046.2
2005-03-01,1039.35
2005-03-02,1036.36
2005-03-03,1019.87
2005-03-04,1027.92
2005-03-07,1024.48
2005-03-08,1033.78
2005-03-09,1051.26
2005-03-10,1046.68
2005-03-11,1021.08
2005-03-14,1027.17
2005-03-15,1030.85
2005-03-16,1011.85
2005-03-17,1001.96
2005-03-18,991.88
2005-03-21,977.29
2005-03-22,981.7
2005-03-23,962.81
2005-03-24,957.43
2005-03-25,964.24
2005-03-28,961.65
2005-03-29,960.41
2005-03-30,952.71
2005-03-31,934.84
2005-04-01,941.43
2005-04-04,968.49
2005-04-05,960.54
2005-04-06,955.59
2005-04-07,975.97
2005-04-08,984.66
2005-04-11,1003.88
2005-04-12,993.71
2005-04-13,987.95
2005-04-14,1004.64
2005-04-15,982.61
2005-04-18,970.91
2005-04-19,962.92
2005-04-20,964.15
2005-04-21,948.86
2005-04-22,942.91
2005-04-25,935.99
2005-04-26,928.43
2005-04-27,938.57
2005-04-28,923.53
2005-04-29,940.81
2005-05-09,934.65
2005-05-10,905.54
2005-05-11,911.84
2005-05-12,899.97
2005-05-13,883.51
2005-05-16,885.39
2005-05-17,873.08
2005-05-18,881.14
2005-05-19,882.84
2005-05-20,883.51
2005-05-23,880.28
2005-05-24,861.2
2005-05-25,867.66
2005-05-26,867.76
2005-05-27,855.59
2005-05-30,847.63
2005-05-31,856.56
2005-06-01,855.21
2005-06-02,835.47
2005-06-03,816.55
2005-06-06,816.73
2005-06-07,841.58
2005-06-08,848.54
2005-06-09,907.57
2005-06-10,911.94
2005-06-13,895.0
2005-06-14,895.39
2005-06-15,881.21
2005-06-16,866.66
2005-06-17,883.6
2005-06-20,881.62
2005-06-21,906.31
2005-06-22,894.77
2005-06-23,900.06
2005-06-24,892.06
2005-06-27,904.21
2005-06-28,913.48
2005-06-29,906.75
2005-06-30,897.1
2005-07-01,875.93
2005-07-04,855.32
2005-07-05,853.68
2005-07-06,850.25
2005-07-07,841.75
2005-07-08,842.62
2005-07-11,837.86
2005-07-12,821.91
2005-07-13,850.47
2005-07-14,844.94
2005-07-15,849.87
2005-07-18,839.22
2005-07-19,831.5
2005-07-20,835.3
2005-07-21,842.75
2005-07-22,847.54
2005-07-25,858.33
2005-07-26,856.19
2005-07-27,876.94
2005-07-28,893.88
2005-07-29,889.41
2005-08-01,887.72
2005-08-02,892.13
2005-08-03,905.18
2005-08-04,907.42
2005-08-05,904.04
2005-08-08,926.57
2005-08-09,926.97
2005-08-10,933.26
2005-08-11,940.78
2005-08-12,954.72
2005-08-15,937.71
2005-08-16,955.27
2005-08-17,943.41
2005-08-18,954.16
2005-08-19,918.09
2005-08-22,923.11
2005-08-23,931.81
2005-08-24,923.56
2005-08-25,930.97
2005-08-26,930.25
2005-08-29,928.34
2005-08-30,916.09
2005-08-31,915.12
2005-09-01,928.52
2005-09-02,945.98
2005-09-05,949.08
2005-09-06,953.41
2005-09-07,934.99
2005-09-08,954.27
2005-09-09,955.11
2005-09-12,949.78
2005-09-13,949.58
2005-09-14,964.97
2005-09-15,970.58
2005-09-16,969.62
2005-09-19,967.44
2005-09-20,971.38
2005-09-21,961.37
2005-09-22,942.73
2005-09-23,921.51
2005-09-26,915.84
2005-09-27,918.87
2005-09-28,903.33
2005-09-29,904.28
2005-09-30,916.59
2005-10-10,917.21
2005-10-11,906.63
2005-10-12,920.45
2005-10-13,923.43
2005-10-14,916.34
2005-10-17,903.27
2005-10-18,897.37
2005-10-19,902.04
2005-10-20,898.89
2005-10-21,899.65
2005-10-24,905.13
2005-10-25,905.97
2005-10-26,892.62
2005-10-27,873.47
2005-10-28,875.86
2005-10-31,866.62
2005-11-01,875.96
2005-11-02,873.39
2005-11-03,882.19
2005-11-04,873.35
2005-11-07,877.62
2005-11-08,876.43
2005-11-09,881.51
2005-11-10,878.63
2005-11-11,861.22
2005-11-14,864.08
2005-11-15,862.07
2005-11-16,855.45
2005-11-17,863.08
2005-11-18,862.58
2005-11-21,882.79
2005-11-22,883.93
2005-11-23,868.01
2005-11-24,875.83
2005-11-25,881.25
2005-11-28,883.24
2005-11-29,879.25
2005-11-30,870.45
2005-12-01,873.47
2005-12-02,872.93
2005-12-05,869.43
2005-12-06,858.11
2005-12-07,865.72
2005-12-08,874.13
2005-12-09,873.69
2005-12-12,887.06
2005-12-13,888.0
2005-12-14,888.6
2005-12-15,898.38
2005-12-16,895.83
2005-12-19,902.05
2005-12-20,902.75
2005-12-21,907.05
2005-12-22,902.37
2005-12-23,908.96
2005-12-26,916.67
2005-12-27,922.44
2005-12-28,919.05
2005-12-29,921.14
2005-12-30,933.45
2006-01-04,926.56
2006-01-05,943.85
2006-01-06,961.91
2006-01-09,971.09
2006-01-10,975.28
2006-01-11,977.64
2006-01-12,972.39
2006-01-13,985.04
2006-01-16,977.89
2006-01-17,959.4
2006-01-18,964.16
2006-01-19,985.23
2006-01-20,991.57
2006-01-23,993.74
2006-01-24,997.79
2006-01-25,998.83
2006-02-06,1013.42
2006-02-07,1034.68
2006-02-08,1028.44
2006-02-09,1033.19
2006-02-10,1019.42
2006-02-13,1034.38
2006-02-14,1032.65
2006-02-15,1040.33
2006-02-16,1041.67
2006-02-17,1020.06
2006-02-20,1020.74
2006-02-21,1020.98
2006-02-22,1039.65
2006-02-23,1038.25
2006-02-24,1041.97
2006-02-27,1055.95
2006-02-28,1046.71
2006-03-01,1051.76
2006-03-02,1055.86
2006-03-03,1037.99
2006-03-06,1041.66
2006-03-07,1037.93
2006-03-08,1012.58
2006-03-09,1006.97
2006-03-10,1004.75
2006-03-13,1008.8
2006-03-14,1020.47
2006-03-15,1018.15
2006-03-16,1028.96
2006-03-17,1027.64
2006-03-20,1024.5
2006-03-21,1037.95
2006-03-22,1041.14
2006-03-23,1047.35
2006-03-24,1049.12
2006-03-27,1042.63
2006-03-28,1050.07
2006-03-29,1058.74
2006-03-30,1065.84
2006-03-31,1053.85
2006-04-03,1061.96
2006-04-04,1080.86
2006-04-05,1091.18
2006-04-06,1102.54
2006-04-07,1102.94
2006-04-10,1104.32
2006-04-11,1120.16
2006-04-12,1123.78
2006-04-13,1116.84
2006-04-14,1091.69
2006-04-17,1120.19
2006-04-18,1127.51
2006-04-19,1135.61
2006-04-20,1139.64
2006-04-21,1133.2
2006-04-24,1156.91
2006-04-25,1139.49
2006-04-26,1142.9
2006-04-27,1157.38
2006-04-28,1143.59
2006-05-08,1179.58
2006-05-09,1226.31
2006-05-10,1257.98
2006-05-11,1267.22
2006-05-12,1255.23
2006-05-15,1312.14
2006-05-16,1368.13
2006-05-17,1331.69
2006-05-18,1322.65
2006-05-19,1334.07
2006-05-22,1366.32
2006-05-23,1365.1
2006-05-24,1325.68
2006-05-25,1304.69
2006-05-26,1312.24
2006-05-29,1339.9
2006-05-30,1375.3
2006-05-31,1377.45
2006-06-01,1364.18
2006-06-02,1406.62
2006-06-05,1391.46
2006-06-06,1400.27
2006-06-07,1398.18
2006-06-08,1309.07
2006-06-09,1320.81
2006-06-12,1283.83
2006-06-13,1296.41
2006-06-14,1291.69
2006-06-15,1283.72
2006-06-16,1290.0
2006-06-19,1306.26
2006-06-20,1333.62
2006-06-21,1336.84
2006-06-22,1331.93
2006-06-23,1329.11
2006-06-26,1341.61
2006-06-27,1365.04
2006-06-28,1361.79
2006-06-29,1365.25
2006-06-30,1402.59
2006-07-03,1398.74
2006-07-04,1423.08
2006-07-05,1409.9
2006-07-06,1391.64
2006-07-07,1423.72
2006-07-10,1410.5
2006-07-11,1414.14
2006-07-12,1419.07
2006-07-13,1415.88
2006-07-14,1333.74
2006-07-17,1354.14
2006-07-18,1370.9
2006-07-19,1370.29
2006-07-20,1335.41
2006-07-21,1344.6
2006-07-24,1340.28
2006-07-25,1359.32
2006-07-26,1377.78
2006-07-27,1370.75
2006-07-28,1354.92
2006-07-31,1338.04
2006-08-01,1292.71
2006-08-02,1281.89
2006-08-03,1277.63
2006-08-04,1272.36
2006-08-07,1233.49
2006-08-08,1225.04
2006-08-09,1254.37
2006-08-10,1251.16
2006-08-11,1273.27
2006-08-14,1275.14
2006-08-15,1243.16
2006-08-16,1266.82
2006-08-17,1280.28
2006-08-18,1270.22
2006-08-21,1235.43
2006-08-22,1270.1
2006-08-23,1284.82
2006-08-24,1284.83
2006-08-25,1293.5
2006-08-28,1298.46
2006-08-29,1328.61
2006-08-30,1328.37
2006-08-31,1335.59
2006-09-01,1339.31
2006-09-04,1315.71
2006-09-05,1339.59
2006-09-06,1341.4
2006-09-07,1348.17
2006-09-08,1327.56
2006-09-11,1331.89
2006-09-12,1338.81
2006-09-13,1348.85
2006-09-14,1338.35
2006-09-15,1338.41
2006-09-18,1367.65
2006-09-19,1377.72
2006-09-20,1376.12
2006-09-21,1378.46
2006-09-22,1389.87
2006-09-25,1372.81
2006-09-26,1370.86
2006-09-27,1357.28
2006-09-28,1372.13
2006-09-29,1389.07
2006-10-09,1420.36
2006-10-10,1437.69
2006-10-11,1436.68
2006-10-12,1436.2
2006-10-13,1424.3
2006-10-16,1432.31
2006-10-17,1416.95
2006-10-18,1413.91
2006-10-19,1438.84
2006-10-20,1440.67
2006-10-23,1439.54
2006-10-24,1408.58
2006-10-25,1443.11
2006-10-26,1447.09
2006-10-27,1455.98
2006-10-30,1436.66
2006-10-31,1447.06
2006-11-01,1465.67
2006-11-02,1480.55
2006-11-03,1481.58
2006-11-06,1477.44
2006-11-07,1512.65
2006-11-08,1512.36
2006-11-09,1491.8
2006-11-10,1525.23
2006-11-13,1498.06
2006-11-14,1475.44
2006-11-15,1494.11
2006-11-16,1540.26
2006-11-17,1528.01
2006-11-20,1567.34
2006-11-21,1591.47
2006-11-22,1610.05
2006-11-23,1623.71
2006-11-24,1629.89
2006-11-27,1632.66
2006-11-28,1649.68
2006-11-29,1617.69
2006-11-30,1671.67
2006-12-01,1719.28
2006-12-04,1731.9
2006-12-05,1785.44
2006-12-06,1794.26
2006-12-07,1774.19
2006-12-08,1752.77
2006-12-11,1705.91
2006-12-12,1798.46
2006-12-13,1805.42
2006-12-14,1807.08
2006-12-15,1842.88
2006-12-18,1875.01
2006-12-19,1924.8
2006-12-20,1912.9
2006-12-21,1935.78
2006-12-22,1896.48
2006-12-25,1898.82
2006-12-26,1941.8
2006-12-27,1940.41
2006-12-28,1988.02
2006-12-29,1991.88
2007-01-04,2073.25
2007-01-05,2051.15
2007-01-08,2072.0
2007-01-09,2137.49
2007-01-10,2210.76
2007-01-11,2257.01
2007-01-12,2215.86
2007-01-15,2170.94
2007-01-16,2310.96
2007-01-17,2360.41
2007-01-18,2292.17
2007-01-19,2320.87
2007-01-22,2424.81
2007-01-23,2508.26
2007-01-24,2508.52
2007-01-25,2512.46
2007-01-26,2415.75
2007-01-29,2529.94
2007-01-30,2586.52
2007-01-31,2544.3
2007-02-01,2350.6
2007-02-02,2397.06
2007-02-05,2282.77
2007-02-06,2271.37
2007-02-07,2330.43
2007-02-08,2376.63
2007-02-09,2412.64
2007-02-12,2397.85
2007-02-13,2498.34
2007-02-14,2527.56
2007-02-15,2607.63
2007-02-16,2692.67
2007-02-26,2679.26
2007-02-27,2717.81
2007-02-28,2413.42
2007-03-01,2550.26
2007-03-02,2468.67
2007-03-05,2503.82
2007-03-06,2467.74
2007-03-07,2532.98
2007-03-08,2597.72
2007-03-09,2632.8
2007-03-12,2612.96
2007-03-13,2620.72
2007-03-14,2609.93
2007-03-15,2595.54
2007-03-16,2656.01
2007-03-19,2533.71
2007-03-20,2669.64
2007-03-21,2685.93
2007-03-22,2720.46
2007-03-23,2710.36
2007-03-26,2725.4
2007-03-27,2770.35
2007-03-28,2787.24
2007-03-29,2802.38
2007-03-30,2768.71
2007-04-02,2793.96
2007-04-03,2861.9
2007-04-04,2893.38
2007-04-05,2909.5
2007-04-06,2921.73
2007-04-09,2988.38
2007-04-10,3053.35
2007-04-11,3092.08
2007-04-12,3129.25
2007-04-13,3182.78
2007-04-16,3177.3
2007-04-17,3273.43
2007-04-18,3294.21
2007-04-19,3297.95
2007-04-20,3165.67
2007-04-23,3330.8
2007-04-24,3462.48
2007-04-25,3432.02
2007-04-26,3465.11
2007-04-27,3499.94
2007-04-30,3487.36
2007-05-08,3643.81
2007-05-09,3699.3
2007-05-10,3703.52
2007-05-11,3696.29
2007-05-14,3648.27
2007-05-15,3739.05
2007-05-16,3598.0
2007-05-17,3716.44
2007-05-18,3771.27
2007-05-21,3650.8
2007-05-22,3849.04
2007-05-23,3879.76
2007-05-24,3953.89
2007-05-25,3907.73
2007-05-28,4033.92
2007-05-29,4090.9
2007-05-30,3906.04
2007-05-31,3828.92
2007-06-01,3953.1
2007-06-04,3804.96
2007-06-05,3407.0
2007-06-06,3652.89
2007-06-07,3694.55
2007-06-08,3814.19
2007-06-11,3876.07
2007-06-12,3953.96
2007-06-13,4071.74
2007-06-14,4103.52
2007-06-15,4043.11
2007-06-18,4178.76
2007-06-19,4227.59
2007-06-20,4268.65
2007-06-21,4140.69
2007-06-22,4203.13
2007-06-25,4066.45
2007-06-26,3804.41
2007-06-27,3946.88
2007-06-28,4038.38
2007-06-29,3769.33
2007-07-02,3746.18
2007-07-03,3782.78
2007-07-04,3840.41
2007-07-05,3688.31
2007-07-06,3517.6
2007-07-09,3743.87
2007-07-10,3832.76
2007-07-11,3751.49
2007-07-12,3799.19
2007-07-13,3825.03
2007-07-16,3824.91
2007-07-17,3684.33
2007-07-18,3776.94
2007-07-19,3796.92
2007-07-20,3808.08
2007-07-23,4009.06
2007-07-24,4187.33
2007-07-25,4163.36
2007-07-26,4282.68
2007-07-27,4277.55
2007-07-30,4305.18
2007-07-31,4402.52
2007-08-01,4479.3
2007-08-02,4311.6
2007-08-03,4472.89
2007-08-06,4642.78
2007-08-07,4715.39
2007-08-08,4680.07
2007-08-09,4666.42
2007-08-10,4765.85
2007-08-13,4724.52
2007-08-14,4721.45
2007-08-15,4804.68
2007-08-16,4772.36
2007-08-17,4694.2
2007-08-20,4749.2
2007-08-21,4915.52
2007-08-22,4899.93
2007-08-23,5075.51
2007-08-24,5161.15
2007-08-27,5250.62
2007-08-28,5220.64
2007-08-29,5215.65
2007-08-30,5193.73
2007-08-31,5255.09
2007-09-03,5335.05
2007-09-04,5421.25
2007-09-05,5357.55
2007-09-06,5389.49
2007-09-07,5382.91
2007-09-10,5226.74
2007-09-11,5384.56
2007-09-12,5102.58
2007-09-13,5230.65
2007-09-14,5362.46
2007-09-17,5389.5
2007-09-18,5524.1
2007-09-19,5487.38
2007-09-20,5436.64
2007-09-21,5508.5
2007-09-24,5481.38
2007-09-25,5524.02
2007-09-26,5433.63
2007-09-27,5364.53
2007-09-28,5479.85
2007-10-08,5703.28
2007-10-09,5638.63
2007-10-10,5694.99
2007-10-11,5695.13
2007-10-12,5777.9
2007-10-15,5761.87
2007-10-16,5851.54
2007-10-17,5862.38
2007-10-18,5813.24
2007-10-19,5651.03
2007-10-22,5543.79
2007-10-23,5467.83
2007-10-24,5564.48
2007-10-25,5549.66
2007-10-26,5279.1
2007-10-29,5428.68
2007-10-30,5529.96
2007-10-31,5663.76
2007-11-01,5701.49
2007-11-02,5514.85
2007-11-05,5438.81
2007-11-06,5331.31
2007-11-07,5348.56
2007-11-08,5321.86
2007-11-09,5042.76
2007-11-12,4916.82
2007-11-13,5024.52
2007-11-14,5013.78
2007-11-15,5129.81
2007-11-16,4999.84
2007-11-19,5017.4
2007-11-20,4964.56
2007-11-21,5087.25
2007-11-22,4902.63
2007-11-23,4733.37
2007-11-26,4931.6
2007-11-27,4759.01
2007-11-28,4724.47
2007-11-29,4708.38
2007-11-30,4841.08
2007-12-03,4714.92
2007-12-04,4786.64
2007-12-05,4829.95
2007-12-06,4986.25
2007-12-07,4979.84
2007-12-10,4961.67
2007-12-11,5162.09
2007-12-12,5108.58
2007-12-13,5051.78
2007-12-14,4827.39
2007-12-17,4976.24
2007-12-18,4827.26
2007-12-19,4877.77
2007-12-20,4968.03
2007-12-21,5016.46
2007-12-24,5142.16
2007-12-25,5217.56
2007-12-26,5231.97
2007-12-27,5286.98
2007-12-28,5379.52
2008-01-02,5349.76
2008-01-03,5381.15
2008-01-04,5430.63
2008-01-07,5480.44
2008-01-08,5575.95
2008-01-09,5507.12
2008-01-10,5631.65
2008-01-11,5688.56
2008-01-14,5717.52
2008-01-15,5743.43
2008-01-16,5642.57
2008-01-17,5445.8
2008-01-18,5358.18
2008-01-21,5424.64
2008-01-22,5015.43
2008-01-23,4787.17
2008-01-24,5034.53
2008-01-25,5022.9
2008-01-28,5038.51
2008-01-29,4742.9
2008-01-30,4817.16
2008-01-31,4693.61
2008-02-01,4623.62
2008-02-04,4695.55
2008-02-05,4942.88
2008-02-13,4858.81
2008-02-14,4858.85
2008-02-15,4846.02
2008-02-18,4875.21
2008-02-19,4926.84
2008-02-20,5032.78
2008-02-21,4878.57
2008-02-22,4850.88
2008-02-25,4704.32
2008-02-26,4637.6
2008-02-27,4543.1
2008-02-28,4651.16
2008-02-29,4616.24
2008-03-03,4648.73
2008-03-04,4813.4
2008-03-05,4650.52
2008-03-06,4645.07
2008-03-07,4641.75
2008-03-10,4588.73
2008-03-11,4393.28
2008-03-12,4534.81
2008-03-13,4266.27
2008-03-14,4179.44
2008-03-17,4138.88
2008-03-18,3924.87
2008-03-19,3837.6
2008-03-20,3833.21
2008-03-21,3998.2
2008-03-24,4086.07
2008-03-25,3780.46
2008-03-26,3926.86
2008-03-27,3847.44
2008-03-28,3712.98
2008-03-31,3802.21
2008-04-01,3776.27
2008-04-02,3621.39
2008-04-03,3518.22
2008-04-07,3611.96
2008-04-08,3852.01
2008-04-09,3857.27
2008-04-10,3641.66
2008-04-11,3794.3
2008-04-14,3699.14
2008-04-15,3513.07
2008-04-16,3573.66
2008-04-17,3493.24
2008-04-18,3356.56
2008-04-21,3516.43
2008-04-22,3207.88
2008-04-23,3267.36
2008-04-24,3739.32
2008-04-25,3781.91
2008-04-28,3740.95
2008-04-29,3704.93
2008-04-30,3793.85
2008-05-05,4015.21
2008-05-06,4021.07
2008-05-07,3986.13
2008-05-08,3774.04
2008-05-09,3960.89
2008-05-12,3804.99
2008-05-13,3786.53
2008-05-14,3843.47
2008-05-15,4006.66
2008-05-16,3948.03
2008-05-19,3926.31
2008-05-20,3911.1
2008-05-21,3668.18
2008-05-22,3732.64
2008-05-23,3697.89
2008-05-26,3643.01
2008-05-27,3549.99
2008-05-28,3583.28
2008-05-29,3666.2
2008-05-30,3585.6
2008-06-02,3600.23
2008-06-03,3624.57
2008-06-04,3601.54
2008-06-05,3529.98
2008-06-06,3519.12
2008-06-10,3344.45
2008-06-11,3155.94
2008-06-12,3123.64
2008-06-13,3087.34
2008-06-16,2981.08
2008-06-17,2950.4
2008-06-18,2820.24
2008-06-19,2967.4
2008-06-20,2795.47
2008-06-23,2798.43
2008-06-24,2775.69
2008-06-25,2844.92
2008-06-26,2964.52
2008-06-27,2886.18
2008-06-30,2782.84
2008-07-01,2799.2
2008-07-02,2702.63
2008-07-03,2654.48
2008-07-04,2751.21
2008-07-07,2747.61
2008-07-08,2900.57
2008-07-09,2927.0
2008-07-10,2970.98
2008-07-11,2962.86
2008-07-14,2927.24
2008-07-15,2987.06
2008-07-16,2818.76
2008-07-17,2790.26
2008-07-18,2746.54
2008-07-21,2792.83
2008-07-22,2905.28
2008-07-23,2923.05
2008-07-24,2905.04
2008-07-25,2939.32
2008-07-28,2959.11
2008-07-29,2921.25
2008-07-30,2940.02
2008-07-31,2894.25
2008-08-01,2786.12
2008-08-04,2816.94
2008-08-05,2780.76
2008-08-06,2723.52
2008-08-07,2717.66
2008-08-08,2719.38
2008-08-11,2579.8
2008-08-12,2431.38
2008-08-13,2427.5
2008-08-14,2429.98
2008-08-15,2440.39
2008-08-18,2451.31
2008-08-19,2285.51
2008-08-20,2332.39
2008-08-21,2494.26
2008-08-22,2421.25
2008-08-25,2408.03
2008-08-26,2370.53
2008-08-27,2322.54
2008-08-28,2325.26
2008-08-29,2347.4
2008-09-01,2372.64
2008-09-02,2292.69
2008-09-03,2279.6
2008-09-04,2238.65
2008-09-05,2193.04
2008-09-08,2189.82
2008-09-09,2135.22
2008-09-10,2124.97
2008-09-11,2135.45
2008-09-12,2071.06
2008-09-16,2050.32
2008-09-17,1981.25
2008-09-18,1876.96
2008-09-19,2065.78
2008-09-22,2228.37
2008-09-23,2141.6
2008-09-24,2072.65
2008-09-25,2143.73
2008-09-26,2234.46
2008-10-06,2206.56
2008-10-07,2043.92
2008-10-08,2041.99
2008-10-09,2059.58
2008-10-10,1913.27
2008-10-13,1889.75
2008-10-14,2054.41
2008-10-15,1911.03
2008-10-16,1833.48
