,沪深300
2005-01-04,7412869.0
2005-01-05,7119109.0
2005-01-06,6288028.0
2005-01-07,7298694.0
2005-01-10,5791697.0
2005-01-11,5849079.0
2005-01-12,5014525.0
2005-01-13,6044065.0
2005-01-14,7297842.0
2005-01-17,7288188.0
2005-01-18,7311847.0
2005-01-19,6338090.0
2005-01-20,7727106.0
2005-01-21,14450059.0
2005-01-24,14359461.0
2005-01-25,9862529.0
2005-01-26,7663290.0
2005-01-27,6945365.0
2005-01-28,5748807.0
2005-01-31,6788706.0
2005-02-01,7433066.0
2005-02-02,17057338.0
2005-02-03,16974540.0
2005-02-04,15736215.0
2005-02-16,12131293.0
2005-02-17,8968297.0
2005-02-18,8139939.0
2005-02-21,9886094.0
2005-02-22,17937840.0
2005-02-23,18696928.0
2005-02-24,14681788.0
2005-02-25,18170004.0
2005-02-28,12971046.0
2005-03-01,9962090.0
2005-03-02,14225135.0
2005-03-03,9203085.0
2005-03-04,8173641.0
2005-03-07,7932949.0
2005-03-08,14295793.0
2005-03-09,15327488.0
2005-03-10,13295953.0
2005-03-11,11476381.0
2005-03-14,14466088.0
2005-03-15,12007493.0
2005-03-16,10622782.0
2005-03-17,9969011.0
2005-03-18,9652059.0
2005-03-21,7252565.0
2005-03-22,11375717.0
2005-03-23,10930053.0
2005-03-24,9260714.0
2005-03-25,7107322.0
2005-03-28,6669246.0
2005-03-29,7577379.0
2005-03-30,8950163.0
2005-03-31,7859445.0
2005-04-01,16347504.0
2005-04-04,11435093.0
2005-04-05,9534536.0
2005-04-06,14282421.0
2005-04-07,20754212.0
2005-04-08,14762526.0
2005-04-11,15936066.0
2005-04-12,10226193.0
2005-04-13,16071687.0
2005-04-14,12945710.0
2005-04-15,10408955.0
2005-04-18,8598400.0
2005-04-19,9212623.0
2005-04-20,8850705.0
2005-04-21,9946145.0
2005-04-22,10691884.0
2005-04-25,11470478.0
2005-04-26,11690471.0
2005-04-27,10780611.0
2005-04-28,14343486.0
2005-04-29,11235419.0
2005-05-09,8529115.0
2005-05-10,10494331.0
2005-05-11,9042047.0
2005-05-12,10228720.0
2005-05-13,11244906.0
2005-05-16,8224288.0
2005-05-17,8772273.0
2005-05-18,7878610.0
2005-05-19,8149583.0
2005-05-20,7226676.0
2005-05-23,7279795.0
2005-05-24,9206929.0
2005-05-25,7238556.0
2005-05-26,6622786.0
2005-05-27,7749983.0
2005-05-30,6971583.0
2005-05-31,7047821.0
2005-06-01,7902302.0
2005-06-02,9508657.0
2005-06-03,7936056.0
